Season,RK,PLAYER,TEAM,GP,MPG,TS,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA
2016,1,Thanasis Antetokounmpo,NY,2,3,0.75,0,0,27.3,0,17.9,9.1,33.08,2,0.1
2016,2,Rakeem Christmas,IND,1,6,1,0,0,13.2,18.3,0,9.1,32.11,1.8,0.1
2016,3,Stephen Curry,GS,79,34.2,0.669,20.6,10.2,31.6,2.9,13.6,8.6,31.56,828.6,27.6
2016,4,Kevin Durant,OKC,72,35.8,0.634,16.3,11.3,30.2,2,21.8,12.4,28.25,682.8,22.8
2016,5,Boban Marjanovic,SA,54,9.4,0.662,7.7,10.6,21,16.9,26.2,21.7,27.77,130.2,4.3
2016,6,Russell Westbrook,OKC,80,34.4,0.554,29,11.9,33.3,6.1,18.1,12.4,27.64,683,22.8
2016,,LeBron James,CLE,76,35.6,0.588,21.5,10.4,31.1,4.7,18.8,11.8,27.64,692.9,23.1
2016,8,Chris Paul,LAC,74,32.7,0.575,33.7,8.9,28.1,1.8,12,7,26.31,552.8,18.4
2016,9,Kawhi Leonard,SA,72,33.1,0.616,12.2,6.9,24.2,4.7,18.4,11.8,26.11,554.6,18.5
2016,10,Hassan Whiteside,MIA,73,29.1,0.629,2.9,13.8,18.8,13.1,32.4,23.1,25.69,478.5,16
2016,11,James Harden,HOU,82,38.1,0.598,20.6,12.6,32.2,2.2,15.6,8.8,25.36,693.1,23.1
2016,12,Anthony Davis,NO,61,35.5,0.559,7.4,7.7,27.2,6.4,26.4,16.1,25.1,439.1,14.6
2016,13,Enes Kanter,OKC,82,21,0.626,3.4,11.8,21.9,16.7,24.9,21,24.09,346.5,11.6
2016,14,Coty Clarke,BOS,3,2,0.75,0,20,32.3,0,18,8.8,24.02,0,0
2016,15,DeMarcus Cousins,SAC,65,34.6,0.538,10.3,11.9,33.2,7.7,28.2,18,23.67,438,14.6
2016,16,Jonas Valanciunas,TOR,60,26,0.61,5.6,11.2,19.3,13.8,26.3,20.1,22.63,279.6,9.3
2016,17,Karl-Anthony Towns,MIN,82,32,0.59,10,11.3,23.1,10.2,27.5,19,22.59,469.9,15.7
2016,18,Michael Beasley,HOU,20,18.2,0.563,6,9,27.6,8.8,21.1,14.9,22.57,65.4,2.2
2016,19,Carl Landry,PHI,36,15.8,0.605,9.3,6.4,22.2,9.1,19.2,14,22.51,93.5,3.1
2016,20,LaMarcus Aldridge,SA,74,30.6,0.565,7.9,7.1,23.8,9.2,22.2,15.9,22.43,369,12.3
2016,21,Damian Lillard,POR,75,35.7,0.56,21.1,10,31.2,1.8,10.4,6.1,22.25,449.1,15
2016,22,Blake Griffin,LAC,35,33.4,0.544,18.1,8.8,28.3,4.8,22.3,13.7,22.22,187.1,6.2
2016,23,Kyle Lowry,TOR,77,37,0.578,23.2,10.5,26,2.2,12.3,7.3,22.2,476.5,15.9
2016,24,Greg Monroe,MIL,79,29.3,0.562,12.9,9.3,22.2,10.9,23.4,17.2,21.87,389.2,13
2016,25,Brook Lopez,BKN,73,33.7,0.562,8.8,10.6,25.5,9.2,17.2,13.1,21.8,410.8,13.7
2016,26,Pau Gasol,CHI,72,31.8,0.529,18.6,10.4,24.1,7.3,28.7,18.2,21.76,381.6,12.7
2016,27,Derrick Favors,UTAH,62,32,0.551,8.4,9.3,22.4,10,19.6,14.8,21.71,302.1,10.1
2016,28,DeMar DeRozan,TOR,78,35.9,0.55,14.6,8.1,28.5,2.7,11.5,7.1,21.58,463.9,15.5
2016,,Nikola Jokic,DEN,80,21.7,0.582,19.4,10.6,19.6,11.4,24.7,17.9,21.58,284.1,9.5
2016,30,Isaiah Thomas,BOS,82,32.2,0.562,21.7,9.4,29.5,1.8,8,4.9,21.54,415.8,13.9
2016,31,Cole Aldrich,LAC,60,13.3,0.626,13.3,17,17.2,11.9,27.1,19.6,21.35,128.4,4.3
2016,32,Paul Millsap,ATL,81,32.7,0.556,15.6,11.2,22.7,8.4,21.5,15.1,21.33,388.5,13
2016,,Jimmy Butler,CHI,67,36.9,0.562,18.9,7.8,23.9,3.4,11.6,7.6,21.33,399.9,13.3
2016,34,Andre Drummond,DET,81,32.9,0.499,4.4,10.1,22.6,15.6,34.2,24.5,21.3,425.8,14.2
2016,35,Nikola Vucevic,ORL,65,31.3,0.531,12.7,8.7,25.4,9.3,22.2,15.7,21.15,320.8,10.7
2016,,Alan Williams,PHX,10,6.8,0.481,12.1,14.6,21.6,21.9,39.2,30.3,21.15,10.7,0.4
2016,37,Kenneth Faried,DEN,67,25.3,0.577,8.8,10.2,19.8,15.1,23,19,21.06,241.7,8.1
2016,38,Paul George,IND,81,34.8,0.557,14.5,11.6,28.9,3.1,18.7,10.9,20.98,441,14.7
2016,39,Kemba Walker,CHA,81,35.6,0.554,19.9,8.1,25.5,2.1,11.5,6.8,20.87,425,14.2
2016,40,DeAndre Jordan,LAC,77,33.7,0.628,9.2,10.9,14.1,11.4,32.7,22.2,20.66,390.2,13
2016,41,Dwyane Wade,MIA,74,30.5,0.517,18,10.6,30.5,4.3,10.7,7.6,20.42,334.3,11.1
2016,42,Carmelo Anthony,NY,72,35.1,0.53,15.3,9,28.5,4.3,19.5,12,20.38,372.9,12.4
2016,43,Chris Bosh,MIA,53,33.5,0.571,11.7,7.2,23.2,3.2,21.1,12.4,20.29,233.2,7.8
2016,44,Eric Bledsoe,PHX,31,34.2,0.557,21.9,12.7,27.2,1.8,11.2,6.4,20.1,143.9,4.8
