Season,RK,PLAYER,TEAM,GP,MPG,TS,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA
2018,96,Domantas Sabonis,IND,74,24.5,0.567,14.4,13.1,21.2,10.4,25.2,17.8,17.57,188.6,6.3
2018,97,Kosta Koufos,SAC,71,19.6,0.566,15.6,8.8,14.7,11.7,27.6,19.3,17.56,144.6,4.8
2018,,Jarrett Allen,BKN,72,20,0.636,8.3,13.8,15.3,10.5,18.1,14.3,17.56,149.7,5
2018,99,Jakob Poeltl,TOR,82,18.6,0.662,10,14.9,14,12.4,16.4,14.4,17.55,158.1,5.3
2018,100,Kenneth Faried,DEN,32,14.4,0.552,8.5,10.9,17.4,16.7,20.7,18.7,17.48,41.1,1.4
2018,101,Richaun Holmes,PHI,48,15.5,0.585,17.3,7.1,16.2,8.6,21.4,15.2,17.47,66.5,2.2
2018,102,Khris Middleton,MIL,82,36.4,0.577,16.8,9.8,23.5,1.8,15,8.4,17.45,309.4,10.3
2018,103,Marc Gasol,MEM,73,33,0.532,18.2,11.5,25.1,3.7,25.3,14.2,17.42,244.9,8.2
2018,104,Zach Randolph,SAC,59,25.6,0.529,12.1,11,26.4,7,23.7,15,17.41,133,4.4
2018,,Dennis Schroder,ATL,67,31,0.515,22.4,9.8,30.2,2.4,8.8,5.6,17.41,198.7,6.6
2018,106,Lucas Nogueira,TOR,49,8.5,0.661,16.9,12.3,11,4.9,18.1,11.7,17.33,42,1.4
2018,107,Johnathan Motley,DAL,11,16,0.55,6.8,8.7,22.9,8.5,22.9,15.5,17.31,15.3,0.5
2018,108,Tobias Harris,DET,80,33.4,0.565,11.9,6.5,22,2.4,15.8,9,17.2,266.8,8.9
2018,108,Tobias Harris,LAC,80,33.4,0.565,11.9,6.5,22,2.4,15.8,9,17.2,266.8,8.9
2018,109,Jabari Parker,MIL,31,24,0.55,12.8,9.8,22.9,6.6,17.1,11.9,17.19,63.1,2.1
2018,110,Jeremy Lamb,CHA,80,24.6,0.559,15.5,7.7,21.7,2.7,15.4,8.9,17.08,193.1,6.4
2018,111,Paul Millsap,DEN,38,30.1,0.549,15.4,10.7,21.6,6.4,17.6,12.1,17.06,95,3.2
2018,112,Cheick Diallo,NO,52,11.2,0.619,7.5,11.1,16,9.1,29.6,19.7,17.05,48.1,1.6
2018,113,Zaza Pachulia,GS,69,14.1,0.612,22.4,14.8,16.6,11,25,18.5,17,92.9,3.1
2018,,CJ McCollum,POR,81,36.1,0.536,13.3,7.4,25.6,2,9.9,6,17,283.7,9.5
2018,,Mason Plumlee,DEN,74,19.5,0.586,20.6,14.8,16.6,10.4,20.8,15.6,17,137.5,4.6
2018,116,Rondae Hollis-Jefferson,BKN,68,28.3,0.548,14.5,10.5,21.3,5.5,20,12.7,16.9,183.6,6.1
2018,117,Dirk Nowitzki,DAL,77,24.7,0.575,12.3,5.2,19.3,1.2,25.2,12.8,16.76,174.7,5.8
2018,118,Donovan Mitchell,UTAH,79,33.4,0.541,14.6,10.8,27.9,2.3,10.4,6.4,16.74,245.8,8.2
2018,119,Dante Exum,UTAH,14,16.8,0.566,26.3,12.2,23.4,2,10.5,6.3,16.72,20.1,0.7
2018,120,Deyonta Davis,MEM,62,15.2,0.621,11,8.8,14.6,9,22,15.3,16.69,85.7,2.9
2018,121,Myles Turner,IND,65,28.2,0.567,9.5,10.5,18.9,5.8,19.8,12.8,16.65,165.7,5.5
2018,122,Ivan Rabb,MEM,36,14.3,0.599,13.6,14.9,16.9,11.6,24.1,17.7,16.64,39.6,1.3
2018,,Goran Dragic,MIA,75,31.7,0.543,20.9,9.7,25.4,2.5,11.9,7.2,16.64,200,6.7
2018,124,Gary Harris,DEN,67,34.4,0.597,15,9.2,20.3,1.8,6.8,4.3,16.6,209.9,7
2018,,Elfrid Payton,ORL,63,28.7,0.538,30.2,12.9,22.6,3.8,12.8,8.3,16.6,151,5
2018,,Elfrid Payton,PHX,63,28.7,0.538,30.2,12.9,22.6,3.8,12.8,8.3,16.6,151,5
2018,126,Wade Baldwin IV,POR,7,11.4,0.748,14.5,11.6,15.7,1.4,9.5,5.5,16.59,6.7,0.2
2018,127,Brook Lopez,LAL,74,23.4,0.557,11.6,9,22.4,4.6,13.4,9,16.52,153.4,5.1
2018,,Joffrey Lauvergne,SA,55,9.7,0.536,14.4,11.6,19.8,13,22.6,17.8,16.52,47.2,1.6
2018,129,Aaron Gordon,ORL,58,32.9,0.53,11.3,8.9,23.2,5,21.5,13.2,16.51,142.8,4.8
2018,130,Jordan Clarkson,CLE,81,23.3,0.542,16,9.2,22.7,3.3,9.1,6.2,16.5,155,5.2
2018,130,Jordan Clarkson,LAL,81,23.3,0.542,16,9.2,22.7,3.3,9.1,6.2,16.5,155,5.2
2018,131,Delon Wright,TOR,69,20.8,0.574,26.3,10.2,17.5,3.6,11.7,7.7,16.49,117.3,3.9
2018,132,Nene ,HOU,52,14.6,0.594,12.2,10.3,17.9,8.1,18,13.1,16.47,66.4,2.2
2018,133,Emeka Okafor,NO,26,13.6,0.545,6.4,10.3,13.2,14.9,21.7,18.4,16.44,30.8,1
2018,,Jeff Teague,MIN,70,33,0.553,31.4,11.3,21.7,1.2,9.3,5.2,16.44,187.5,6.2
2018,135,Khem Birch,ORL,42,13.8,0.582,16.4,10.1,12.7,13.2,21.1,17.1,16.43,50.3,1.7
2018,136,Dakari Johnson,OKC,31,5.2,0.575,13.6,5.1,13.3,10.7,12.8,11.7,16.41,14,0.5
2018,137,Andre Ingram,LAL,2,32,0.655,24.7,10.6,14.3,1.7,8.3,5,16.3,5.3,0.2
2018,138,Will Barton,DEN,81,33.1,0.562,20.6,9.3,20.8,3,14.2,8.6,16.21,228.8,7.6
2018,139,Jerami Grant,OKC,81,20.3,0.607,8.5,8,15.5,5.6,16.2,10.7,16.19,139.9,4.7
2018,,Nerlens Noel,DAL,30,15.7,0.558,12.2,15.9,13,10.9,29.3,19.8,16.19,39.4,1.3
2018,141,Jamal Murray,DEN,81,31.7,0.576,16.9,10.6,22.5,3.6,9.4,6.5,16.17,197.9,6.6
2018,142,Daniel Theis,BOS,63,14.8,0.616,14.7,14.7,14.9,10.7,21.2,16,16.16,65,2.2
2018,143,Klay Thompson,GS,73,34.3,0.598,12.1,8.3,22,1.5,10.3,6.2,16.15,211.4,7
2018,144,Buddy Hield,SAC,80,25.3,0.557,12.4,9.9,23.2,3,14.8,8.6,16.13,170.2,5.7
2018,145,Draymond Green,GS,70,32.7,0.556,36.2,14.4,18.2,3.9,21.1,13.1,16.1,156.9,5.2
2018,146,Tyler Zeller,MIL,66,16.8,0.598,10.2,10.2,13.1,10.9,19.4,15.1,16.01,89.5,3
2018,146,Tyler Zeller,BKN,66,16.8,0.598,10.2,10.2,13.1,10.9,19.4,15.1,16.01,89.5,3
2018,147,Jeremy Lin,BKN,1,25,0.597,18.1,13.6,30.6,0,0,0,15.97,1.9,0.1
2018,148,Reggie Jackson,DET,45,26.7,0.516,24.5,10.2,27.4,2.6,9,5.7,15.96,89,3
2018,,Cody Zeller,CHA,33,19,0.602,12,12.8,15,11.4,19.3,15.3,15.96,50.1,1.7
2018,150,JJ Redick,PHI,70,30.2,0.614,16.3,8,21.1,0.5,8.3,4.5,15.92,171.3,5.7
2018,151,Kyle Anderson,SA,74,26.7,0.582,25.3,11.8,13.8,4.7,17.6,11.1,15.91,159.8,5.3
2018,152,Fred VanVleet,TOR,76,20,0.556,26.8,8.2,19.5,1.9,11.5,6.8,15.9,111.2,3.7
2018,153,Harrison Barnes,DAL,77,34.2,0.539,9.4,7.3,23.5,3.1,17.1,9.9,15.89,212.1,7.1
2018,,Derrick White,SA,17,8.2,0.646,15.8,10.6,15,4,16.9,10.4,15.89,10.1,0.3
2018,,Spencer Dinwiddie,BKN,80,28.8,0.527,32.6,8,21.5,1.8,10.2,6,15.89,168.1,5.6
2018,156,Dario Saric,PHI,78,29.6,0.582,15.2,11.1,20.2,7.5,16.4,12.1,15.88,151,5
2018,157,Chris McCullough,WSH,19,4.7,0.478,7.4,3.7,23,8.8,22.6,15.7,15.87,5.9,0.2
2018,158,Thabo Sefolosha,UTAH,38,21.2,0.591,10.1,9.2,15.4,4.1,18.4,11.3,15.86,64.5,2.2
2018,159,Dewayne Dedmon,ATL,62,24.9,0.599,13,12.4,16.2,7.2,28.1,17.7,15.85,120.8,4
2018,160,James Johnson,MIA,73,26.6,0.575,25.3,12.8,19.3,3.5,17.2,10.3,15.82,125.3,4.2
