season,team,pct,sum_poe
2016,LAL,0.207,3.00838677186654
2015,CHA,0.402,3.19077483996664
2018,WSH,0.524,3.51185835346641
2016,HOU,0.5,3.68426164805137
2014,BOS,0.305,3.24434632739579
2015,MIL,0.5,3.34023244946626
2015,CHI,0.61,3.6315632606598
2018,BKN,0.341,3.20247441882361
2016,TOR,0.683,3.4911522859625
2016,IND,0.549,3.33724064755043
2016,GS,0.89,3.59851650840162
2016,SA,0.817,3.46977841074079
2018,HOU,0.793,3.4408724762645
2017,DET,0.451,3.40699332686088
2015,WSH,0.561,3.3051595040522
2014,MEM,0.61,3.32555842501332
2016,ORL,0.427,3.44356406347298
2014,MIL,0.183,3.16070843092095
2016,UTAH,0.488,3.63015971006094
2015,PHI,0.22,3.05998182367046
2016,DEN,0.402,3.44584178117533
2015,NO,0.549,3.59029458709742
2018,LAC,0.512,3.72070268362025
2016,CLE,0.695,3.87250719243128
2017,DAL,0.402,3.15860673920719
2016,OKC,0.671,3.7573175512189
2018,PHX,0.256,2.91219791008496
2017,SAC,0.39,3.27415072943181
2014,NO,0.415,3.31383759330301
2017,UTAH,0.622,3.56280692705204
2015,MEM,0.671,3.43435745109903
2018,POR,0.598,3.12864517164023
2016,MIL,0.402,3.42028596823741
2014,CHA,0.524,3.40757935470015
2016,ATL,0.585,3.34234661404859
2018,TOR,0.72,3.83912487114353
2015,SA,0.671,3.40955978529753
2018,IND,0.585,3.38873589432955
2017,WSH,0.598,3.52484391083597
2014,GS,0.622,3.30863400548428
2018,ATL,0.293,3.322396122902
2017,MEM,0.524,3.41744677405043
2015,GS,0.817,3.63893331463242
2015,DEN,0.366,3.31144242190525
2014,CHI,0.585,3.33311355251007
2014,DEN,0.439,3.51366024716734
2016,PHX,0.28,3.38174274201384
2014,MIA,0.659,3.39052894184226
2018,ORL,0.305,3.17711701073872
2017,TOR,0.622,3.37916162166326
2018,SAC,0.329,3.17865184361779
2018,PHI,0.634,3.39881196728456
2018,NY,0.354,3.31212857931385
2014,MIN,0.488,3.47229202571837
2016,MIN,0.354,3.4168389330075
2014,POR,0.659,3.60348566667408
2015,MIN,0.195,3.2262472005562
2015,HOU,0.683,3.12964271992541
2015,IND,0.463,3.17353744484921
2015,BOS,0.488,3.46319529488235
2017,CHA,0.439,3.23499763598782
2015,ATL,0.732,3.47597834283527
2018,MEM,0.268,3.14839409274082
2018,CLE,0.61,3.18304467929101
2016,LAC,0.646,3.55104059167527
2015,TOR,0.598,3.29098867063472
2018,DET,0.476,3.40049268793825
2017,GS,0.817,3.63321984492424
2014,DET,0.354,3.72565214706506
2016,POR,0.537,3.82018375693303
2015,SAC,0.354,3.19089512980009
2014,PHX,0.585,3.34066440275831
2017,DEN,0.488,3.42524650271067
2015,DET,0.39,3.79695337636384
2016,PHI,0.122,2.89658035443468
2015,MIA,0.451,3.42954161747944
2017,NO,0.415,3.37641847041847
2017,HOU,0.671,3.44484855892572
2017,NY,0.378,3.13192785296588
2016,CHA,0.585,3.36233136605959
2017,BOS,0.646,3.51485503517882
2014,PHI,0.232,3.08555481221857
2016,DAL,0.512,3.32098212920735
2017,ORL,0.354,3.50946172832744
2014,HOU,0.659,3.52024846039465
2018,MIA,0.537,3.23228383439226
2018,LAL,0.427,3.26801895136084
2016,NO,0.366,3.22249878285224
2016,WSH,0.5,3.44281414117911
2014,WSH,0.537,3.52585870456859
2017,SA,0.744,3.36995834356041
2015,DAL,0.61,3.78227275977597
2014,BKN,0.537,3.229960924143
2018,SA,0.573,3.45551121668949
2015,OKC,0.549,3.35348707783799
2014,LAC,0.695,3.93212483876135
2015,ORL,0.305,3.20450385907413
2014,ATL,0.463,3.33361245354532
2017,CHI,0.5,3.45535914301638
2016,BOS,0.585,3.51580501710466
2015,UTAH,0.463,3.59683638198206
2018,CHI,0.329,3.28468465406768
2016,CHI,0.512,3.38454309713134
2014,SA,0.756,3.42849725817862
2017,POR,0.5,3.19221392050876
2015,BKN,0.463,3.4142349763671
2014,NY,0.451,3.3947468110357
2014,LAL,0.329,3.41982605185772
2015,LAC,0.683,4.17098573195818
2017,IND,0.512,3.3090073164691
2017,CLE,0.622,3.87778418453004
2017,MIA,0.5,3.39951693920501
2016,SAC,0.402,3.20118235281068
2016,NY,0.39,3.38994555054632
2017,MIN,0.378,3.46083145281115
2017,MIL,0.512,3.48706163919607
2015,CLE,0.646,3.65389164155663
2018,BOS,0.671,3.24766640291447
2017,PHX,0.293,3.2537919541979
2016,BKN,0.256,3.18962016375738
2017,ATL,0.524,3.44908494391437
2016,MEM,0.512,3.25617120334862
2017,OKC,0.573,3.49198510155858
2017,BKN,0.244,3.09174636998874
2018,GS,0.707,3.38938794873634
2014,IND,0.683,3.27897972922375
2018,DAL,0.293,3.30988845159321
2018,CHA,0.439,3.39653695245035
2018,OKC,0.585,3.64385325680039
2017,LAC,0.622,3.75181959335924
2014,TOR,0.585,3.39265558220151
2014,ORL,0.28,3.24492070497019
2017,PHI,0.341,3.13036685086007
2018,NO,0.585,3.47210932922763
2018,UTAH,0.585,3.61960674629756
2018,MIL,0.537,3.50195394350269
2014,DAL,0.598,3.6058423703383
2015,POR,0.622,3.51082026845425
2016,MIA,0.585,3.46920928370494
2018,MIN,0.573,3.51923546406715
2015,LAL,0.256,3.63769636124694
2014,OKC,0.72,3.22664394425278
2014,UTAH,0.305,3.26597613574447
2014,CLE,0.402,3.47996609074694
2015,PHX,0.476,3.38738350317917
2017,LAL,0.317,3.03865764374708
2016,DET,0.537,3.19023980853206
2015,NY,0.207,3.15637457866985
2014,SAC,0.341,3.18073402825174
2018,DEN,0.561,3.58642306375357
