season,team,pct,sum_poe
2016,LAL,0.207,3.76348881268287
2015,CHA,0.402,3.81934626853807
2018,WSH,0.524,4.07158531592374
2016,HOU,0.5,4.17721939453024
2014,BOS,0.305,3.87669926857226
2015,MIL,0.5,3.8580895923234
2015,CHI,0.61,4.10409073318727
2018,BKN,0.341,3.95719139995569
2016,TOR,0.683,4.00278019293925
2016,IND,0.549,3.87408275281359
2016,GS,0.89,4.42610271529817
2016,SA,0.817,4.12311174407412
2018,HOU,0.793,3.98141301680504
2017,DET,0.451,3.94199332686088
2015,WSH,0.561,3.92280656287573
2014,MEM,0.61,3.98555842501332
2016,ORL,0.427,3.93689739680632
2014,MIL,0.183,3.8192450162868
2016,UTAH,0.488,4.12222320212443
2015,PHI,0.22,3.49660154198032
2016,DEN,0.402,4.01374301574323
2015,NO,0.549,4.18203770636347
2018,LAC,0.512,4.25539656117127
2016,CLE,0.695,4.37250719243128
2017,DAL,0.402,3.73703811175621
2016,OKC,0.671,4.4073175512189
2018,PHX,0.256,3.40000278813374
2017,SAC,0.39,3.95933591461699
2014,NO,0.415,3.82898910845452
2017,UTAH,0.622,4.14388800813312
2015,MEM,0.671,3.93823342009127
2018,POR,0.598,3.64531183830689
2016,MIL,0.402,3.89569580430298
2014,CHA,0.524,3.94091268803348
2016,ATL,0.585,3.86703797207328
2018,TOR,0.72,4.4066924387111
2015,SA,0.671,4.05058542632317
2018,IND,0.585,3.92445018004384
2017,WSH,0.598,4.12901057750264
2014,GS,0.622,4.17530067215094
2018,ATL,0.293,3.88283568334156
2017,MEM,0.524,3.98641229129181
2015,GS,0.817,4.27629595199506
2015,DEN,0.366,3.87394242190525
2014,CHI,0.585,3.87455001659847
2014,DEN,0.439,3.98241024716734
2016,PHX,0.28,3.92495261855705
2014,MIA,0.659,3.90164005295337
2018,ORL,0.305,3.87479142934337
2017,TOR,0.622,3.8672568597585
2018,SAC,0.329,3.68531851028446
2018,PHI,0.634,4.25247050386993
2018,NY,0.354,3.91776238213076
2014,MIN,0.488,3.99081054423689
2016,MIN,0.354,3.98094149711007
2014,POR,0.659,4.05803112121954
2015,MIN,0.195,3.78009335440236
2015,HOU,0.683,3.65107129135398
2015,IND,0.463,3.7219245416234
2015,BOS,0.488,4.0176507404269
2017,CHA,0.439,3.99499763598782
2015,ATL,0.732,3.95138817890084
2018,MEM,0.268,3.68620921879124
2018,CLE,0.61,4.12243861868495
2016,LAC,0.646,4.13724748822699
2015,TOR,0.598,3.82383538596319
2018,DET,0.476,3.9177340672486
2017,GS,0.817,4.39685620856061
2014,DET,0.354,4.19440214706506
2016,POR,0.537,4.41667498500321
2015,SAC,0.354,3.75952258078048
2014,PHX,0.585,3.84066440275831
2017,DEN,0.488,3.97491537688286
2015,DET,0.39,3.79695337636384
2016,PHI,0.122,3.44279884182964
2015,MIA,0.451,4.17954161747944
2017,NO,0.415,3.92449539349539
2017,HOU,0.671,4.05501805045114
2017,NY,0.378,3.82310432355412
2016,CHA,0.585,3.88455358828182
2017,BOS,0.646,4.11925063957442
2014,PHI,0.232,3.64260179208434
2016,DAL,0.512,3.88854969677492
2017,ORL,0.354,4.01431609725948
2014,HOU,0.659,4.02024846039465
2018,MIA,0.537,3.77395050105893
2018,LAL,0.427,3.82966278697727
2016,NO,0.366,3.75583211618557
2016,WSH,0.5,4.00531414117911
2014,WSH,0.537,4.05710870456859
2017,SA,0.744,4.15329167689375
2015,DAL,0.61,4.35500003250324
2014,BKN,0.537,3.71144240562448
2018,SA,0.573,3.93551121668949
2015,OKC,0.549,3.98506602520641
2014,LAC,0.695,4.45160535824187
2015,ORL,0.305,3.66604232061259
2014,ATL,0.463,3.85668937662224
2017,CHI,0.5,3.94020762786486
2016,BOS,0.585,4.02427959337585
2015,UTAH,0.463,4.23175701690269
2018,CHI,0.329,3.85968465406768
2016,CHI,0.512,3.82571956771958
2014,SA,0.756,3.99803368201968
2017,POR,0.5,3.91635185154324
2015,BKN,0.463,3.9142349763671
2014,NY,0.451,3.99701953830843
2014,LAL,0.329,3.95732605185772
2015,LAC,0.683,4.63673915661571
2017,IND,0.512,3.87504505231816
2017,CLE,0.622,4.36496367170952
2017,MIA,0.5,3.86553635668073
2016,SAC,0.402,3.95673790836624
2016,NY,0.39,3.88994555054632
2017,MIN,0.378,4.00249811947782
2017,MIL,0.512,4.03808204735934
2015,CLE,0.646,4.36222497488996
2018,BOS,0.671,3.86433306958113
2017,PHX,0.293,3.81075397951436
2016,BKN,0.256,3.811241785379
2017,ATL,0.524,3.95457944940887
2016,MEM,0.512,3.77073431014474
2017,OKC,0.573,4.03546336242815
2017,BKN,0.244,3.7053827336251
2018,GS,0.707,4.00910625859549
2014,IND,0.683,3.96079791104193
2018,DAL,0.293,3.89780053950529
2018,CHA,0.439,3.90112410841365
2018,OKC,0.585,4.1566737696209
2017,LAC,0.622,4.30951190105155
2014,TOR,0.585,3.88561332868038
2014,ORL,0.28,3.76492070497019
