season,team,pct,sum_poe
2016,LAL,0.207,2.59132516049214
2015,CHA,0.402,2.68383039552219
2018,WSH,0.524,2.79142824593952
2016,HOU,0.5,2.80621286756357
2014,BOS,0.305,2.65398488161266
2015,MIL,0.5,2.84377854875704
2015,CHI,0.61,2.97333541255853
2018,BKN,0.341,2.66210174801616
2016,TOR,0.683,3.02723476018931
2016,IND,0.549,2.90620616479181
2016,GS,0.89,2.93184984173496
2016,SA,0.817,2.81714683179342
2018,HOU,0.793,2.83143041617866
2017,DET,0.451,2.82365999352754
2015,WSH,0.561,2.7551595040522
2014,MEM,0.61,2.79402689348179
2016,ORL,0.427,2.90568527559419
2014,MIL,0.183,2.69971552311953
2016,UTAH,0.488,3.11825494815617
2015,PHI,0.22,2.54625633347438
2016,DEN,0.402,2.68393701927057
2015,NO,0.549,3.00538892672006
2018,LAC,0.512,3.18581896269001
2016,CLE,0.695,3.34180543804532
2017,DAL,0.402,2.49903227112209
2016,OKC,0.671,3.04679123542942
2018,PHX,0.256,2.4955312434183
2017,SAC,0.39,2.73683729659599
2014,NO,0.415,2.82016670722706
2017,UTAH,0.622,2.99539119671496
2015,MEM,0.671,2.84435745109902
2018,POR,0.598,2.62864517164023
2016,MIL,0.402,2.88428596823741
2014,CHA,0.524,2.84617584592822
2016,ATL,0.585,2.7514375231395
2018,TOR,0.72,2.97548850750717
2015,SA,0.671,2.86789311863086
2018,IND,0.585,2.85215052847589
2017,WSH,0.598,3.02484391083597
2014,GS,0.622,2.75600242653691
2018,ATL,0.293,2.83906278956867
2017,MEM,0.524,2.86672213636927
2015,GS,0.817,2.87893331463242
2015,DEN,0.366,2.70826781873065
2014,CHI,0.585,2.80370178780419
2014,DEN,0.439,2.88130730599087
2016,PHX,0.28,2.5372982975694
2014,MIA,0.659,2.79149512541714
2018,ORL,0.305,2.68692093230735
2017,TOR,0.622,2.84184818882744
2018,SAC,0.329,2.64316797265005
2018,PHI,0.634,2.75119291966551
2018,NY,0.354,2.85400050049612
2014,MIN,0.488,2.86291702571837
2016,MIN,0.354,2.89358311905402
2014,POR,0.659,3.05618836937679
2015,MIN,0.195,2.7262472005562
2015,HOU,0.683,2.64551573579843
2015,IND,0.463,2.59882480117105
2015,BOS,0.488,2.8842479264613
2017,CHA,0.439,2.72590672689691
2015,ATL,0.732,2.92668256818738
2018,MEM,0.268,2.66166842902401
2018,CLE,0.61,2.68304467929101
2016,LAC,0.646,3.05104059167527
2015,TOR,0.598,2.82840363662111
2018,DET,0.476,2.89172075811369
2017,GS,0.817,2.99259484492424
2014,DET,0.354,3.24565214706506
2016,POR,0.537,2.72927466602394
2015,SAC,0.354,2.71089512980009
2014,PHX,0.585,2.68987075196466
2017,DEN,0.488,2.94625490607202
2015,DET,0.39,2.77518599494733
2016,PHI,0.122,2.43504189289622
2015,MIA,0.451,2.61704161747944
2017,NO,0.415,2.76041847041847
2017,HOU,0.671,2.64966783603415
2017,NY,0.378,2.56988405734545
2016,CHA,0.585,2.84233136605959
2017,BOS,0.646,2.75214317077204
2014,PHI,0.232,2.53198338364714
2016,DAL,0.512,2.7730369237279
2017,ORL,0.354,2.95984340771675
2014,HOU,0.659,2.95774846039465
2018,MIA,0.537,2.6475380716804
2018,LAL,0.427,2.74045989624273
2016,NO,0.366,2.74688902675468
2016,WSH,0.5,2.94014034438767
2014,WSH,0.537,2.75662793533783
2017,SA,0.744,2.78212050572258
2015,DAL,0.61,3.19893942644263
2014,BKN,0.537,2.67335715055809
2018,SA,0.573,2.87607196435304
2015,OKC,0.549,2.80642825430858
2014,LAC,0.695,3.39941455838752
2015,ORL,0.305,2.70062789008188
2014,ATL,0.463,2.8113902313231
2017,CHI,0.5,2.83919752685476
2016,BOS,0.585,2.699138350438
2015,UTAH,0.463,3.05138183652751
2018,CHI,0.329,2.68194492804028
2016,CHI,0.512,2.91551654845878
2014,SA,0.756,2.93891392484529
2017,POR,0.5,2.65253138082622
2015,BKN,0.463,2.70931694358022
2014,NY,0.451,2.54289495918385
2014,LAL,0.329,2.65792128995296
2015,LAC,0.683,3.7099078876468
2017,IND,0.512,2.84161601212128
2017,CLE,0.622,3.35992704167289
2017,MIA,0.5,2.89951693920501
2016,SAC,0.402,2.75402788126597
2016,NY,0.39,2.77047652399765
2017,MIN,0.378,2.92836392034362
2017,MIL,0.512,2.93208781720654
2015,CLE,0.646,3.05895493269587
2018,BOS,0.671,2.72565382429811
2017,PHX,0.293,2.64362246267248
2016,BKN,0.256,2.73507470921193
2017,ATL,0.524,2.89352938835881
2016,MEM,0.512,2.75617120334862
2017,OKC,0.573,2.84842074512294
2017,BKN,0.244,2.62746065570302
2018,GS,0.707,2.9482114781481
2014,IND,0.683,2.76046121070523
2018,DAL,0.293,2.52417416587892
2018,CHA,0.439,2.81117109879181
2018,OKC,0.585,3.11324101190243
2017,LAC,0.622,3.1089624505021
2014,TOR,0.585,2.85932224886818
2014,ORL,0.28,2.61992070497019
2017,PHI,0.341,2.56872301524363
2018,NO,0.585,2.80165478377309
2018,UTAH,0.585,3.094183017484
2018,MIL,0.537,2.93346079281775
2014,DAL,0.598,2.7637371071804
2015,POR,0.622,2.92461337190253
2016,MIA,0.585,2.94349499799066
2018,MIN,0.573,3.02323546406715
2015,LAL,0.256,3.15524022089607
2014,OKC,0.72,2.74226894425278
2014,UTAH,0.305,2.69050443763127
2014,CLE,0.402,2.96340979935621
2015,PHX,0.476,2.7134704597009
2017,LAL,0.317,2.55028555072382
2016,DET,0.537,2.66548733328454
2015,NY,0.207,2.58494600724128
2014,SAC,0.341,2.68073402825174
2018,DEN,0.561,2.83257690990742
