season,team,pct,sum_poe
2016,LAL,0.207,4.45914098659591
2015,CHA,0.402,4.33021583375546
2018,WSH,0.524,4.63785037616471
2016,HOU,0.5,4.7327749500858
2014,BOS,0.305,4.42643748846755
2015,MIL,0.5,4.4080895923234
2015,CHI,0.61,4.60409073318727
2018,BKN,0.341,4.38576282852712
2016,TOR,0.683,4.73695740812912
2016,IND,0.549,4.3831736619045
2016,GS,0.89,4.9546741438696
2016,SA,0.817,4.76413738509976
2018,HOU,0.793,4.47456370173655
2017,DET,0.451,4.41891640378395
2015,WSH,0.561,4.47665271672188
2014,MEM,0.61,4.5600265101197
2016,ORL,0.427,4.47023073013965
2014,MIL,0.183,4.41147802599554
2016,UTAH,0.488,4.60707168697291
2015,PHI,0.22,3.93777801256855
2016,DEN,0.402,4.48627048827071
2015,NO,0.549,4.71692142729371
2018,LAC,0.512,4.81095211672682
2016,CLE,0.695,5.04642023590954
2017,DAL,0.402,4.26203811175621
2016,OKC,0.671,4.89303183693318
2018,PHX,0.256,4.21132354285073
2017,SAC,0.39,4.57577427078137
2014,NO,0.415,4.41797215930198
2017,UTAH,0.622,4.65021712205718
2015,MEM,0.671,4.56614039683546
2018,POR,0.598,4.64531183830689
2016,MIL,0.402,4.28700015212907
2014,CHA,0.524,4.44091268803348
2016,ATL,0.585,4.42636000597158
2018,TOR,0.72,4.94372947574814
2015,SA,0.671,4.5351215087974
2018,IND,0.585,4.5470916894778
2017,WSH,0.598,4.72901057750264
2014,GS,0.622,4.70257339942367
2018,ATL,0.293,4.43839123889712
2017,MEM,0.524,4.49215941772859
2015,GS,0.817,4.83673551243462
2015,DEN,0.366,4.34762663243157
2014,CHI,0.585,4.33069036747566
2014,DEN,0.439,4.45383881859592
2016,PHX,0.28,4.46245261855705
2014,MIA,0.659,4.83497338628671
2018,ORL,0.305,4.47112170457273
2017,TOR,0.622,4.3372568597585
2018,SAC,0.329,4.49663926500144
2018,PHI,0.634,4.72438061622948
2018,NY,0.354,4.65305649977781
2014,MIN,0.488,4.69351324693959
2016,MIN,0.354,4.58471508201573
2014,POR,0.659,4.68303112121954
2015,MIN,0.195,4.30640914387604
2015,HOU,0.683,4.28038163618157
2015,IND,0.463,4.316519136218
2015,BOS,0.488,4.53938987086168
2017,CHA,0.439,4.5167367664226
2015,ATL,0.732,4.48385571136838
2018,MEM,0.268,4.14299934224803
2018,CLE,0.61,4.67173439333283
2016,LAC,0.646,4.55058082156032
2015,TOR,0.598,4.53269614545686
2018,DET,0.476,4.35180000131453
2017,GS,0.817,4.93852287522727
2014,DET,0.354,4.74824830091122
2016,POR,0.537,4.89394771227593
2015,SAC,0.354,4.30714162839953
2014,PHX,0.585,4.39516677242656
2017,DEN,0.488,4.4685051204726
2015,DET,0.39,4.35044174845686
2016,PHI,0.122,4.07437778919806
2015,MIA,0.451,4.70128074791422
2017,NO,0.415,4.37547578565226
