season,team,pct,sum_poe
2016,LAL,0.207,1.50216791486007
2015,CHA,0.402,1.54153434246702
2018,WSH,0.524,1.56072649155356
2016,HOU,0.5,1.76887694145759
2014,BOS,0.305,1.59937961845476
2015,MIL,0.5,1.73724701722551
2015,CHI,0.61,1.95993405201431
2018,BKN,0.341,1.5578458000333
2016,TOR,0.683,1.61484159779614
2016,IND,0.549,1.56096600526346
2016,GS,0.89,1.72217701100949
2016,SA,0.817,1.66454942919602
2018,HOU,0.793,1.51890440702344
2017,DET,0.451,1.50648827635583
2015,WSH,0.561,1.77398456085194
2014,MEM,0.61,1.72183177153057
2016,ORL,0.427,1.64410431511821
2014,MIL,0.183,1.53405895746296
2016,UTAH,0.488,1.59362440628425
2015,PHI,0.22,1.48593887315692
2016,DEN,0.402,1.49965348479977
2015,NO,0.549,1.69340545564568
2018,LAC,0.512,1.99952984197466
2016,CLE,0.695,1.60832307341541
2017,DAL,0.402,1.5404135496609
2016,OKC,0.671,1.67287020696294
2018,PHX,0.256,1.47553177816336
2017,SAC,0.39,1.70274638750508
2014,NO,0.415,1.73097521786535
2017,UTAH,0.622,2.0282733453933
2015,MEM,0.671,1.69356380030537
2018,POR,0.598,1.61592805005214
2016,MIL,0.402,1.66722142358666
2014,CHA,0.524,1.58558903407099
2016,ATL,0.585,1.71082328662974
2018,TOR,0.72,1.64860020593533
2015,SA,0.671,1.72425082706123
2018,IND,0.585,1.63833473900221
2017,WSH,0.598,1.75485886114817
2014,GS,0.622,1.65379569018383
2018,ATL,0.293,1.51366596417184
2017,MEM,0.524,1.76546939195496
2015,GS,0.817,1.67736709059429
2015,DEN,0.366,1.782882124481
2014,CHI,0.585,1.74086612722417
2014,DEN,0.439,1.76638474122028
2016,PHX,0.28,1.54554447616956
2014,MIA,0.659,1.74808586477487
2018,ORL,0.305,1.53352514776402
2017,TOR,0.622,1.79497911861871
2018,SAC,0.329,1.65846329528576
2018,PHI,0.634,1.70550847766441
2018,NY,0.354,1.79928669578232
2014,MIN,0.488,1.72401619966671
2016,MIN,0.354,1.74185311338187
2014,POR,0.659,1.62866319391142
2015,MIN,0.195,1.72110839000284
2015,HOU,0.683,1.60933035255422
2015,IND,0.463,1.64886428004985
2015,BOS,0.488,1.65901207740469
2017,CHA,0.439,1.71516041399392
2015,ATL,0.732,1.7639099825176
2018,MEM,0.268,1.50347211611917
2018,CLE,0.61,1.65655293151276
2016,LAC,0.646,2.10659614723082
2015,TOR,0.598,1.67287074523917
2018,DET,0.476,1.80799801668067
2017,GS,0.817,1.69434156981507
2014,DET,0.354,1.63939399843404
2016,POR,0.537,1.51657810224992
2015,SAC,0.354,1.51303080819205
2014,PHX,0.585,1.64265661009847
2017,DEN,0.488,1.6328131252501
2015,DET,0.39,1.83626554040188
2016,PHI,0.122,1.41706372353045
2015,MIA,0.451,1.57397206444468
2017,NO,0.415,1.63444444444444
2017,HOU,0.671,1.5367646102277
2017,NY,0.378,1.53557539412112
2016,CHA,0.585,1.64598100109609
2017,BOS,0.646,1.61130204600403
2014,PHI,0.232,1.55633172487937
2016,DAL,0.512,1.4879542317351
2017,ORL,0.354,1.67301947215864
2014,HOU,0.659,1.75212075476694
2018,MIA,0.537,1.59841526466285
2018,LAL,0.427,1.61888227513227
2016,NO,0.366,1.58041901692184
2016,WSH,0.5,1.83299748724481
2014,WSH,0.537,1.7584726443769
2017,SA,0.744,1.60167586941781
2015,DAL,0.61,2.11944845278179
2014,BKN,0.537,1.5829281076538
2018,SA,0.573,1.7868722186904
2015,OKC,0.549,1.59203619475523
2014,LAC,0.695,2.34225533731078
2015,ORL,0.305,1.74214937672532
2014,ATL,0.463,1.65904581529582
2017,CHI,0.5,1.85664756907261
2016,BOS,0.585,1.54406316246807
2015,UTAH,0.463,1.6268395307383
2018,CHI,0.329,1.45469789581868
2016,CHI,0.512,1.65964320831577
2014,SA,0.756,1.72039657968451
2017,POR,0.5,1.56546852927327
2015,BKN,0.463,1.62499582289056
2014,NY,0.451,1.57709158980995
2014,LAL,0.329,1.57756756756757
2015,LAC,0.683,2.59530826979028
2017,IND,0.512,1.68382912687538
2017,CLE,0.622,2.36856536856537
2017,MIA,0.5,1.77179697704796
2016,SAC,0.402,1.6555991495039
2016,NY,0.39,1.75364150716263
2017,MIN,0.378,1.77451776649746
2017,MIL,0.512,1.68512343512343
2015,CLE,0.646,1.63990731364825
2018,BOS,0.671,1.63668727106227
2017,PHX,0.293,1.57597540384895
2016,BKN,0.256,1.63119033703487
2017,ATL,0.524,1.89891064533922
2016,MEM,0.512,1.60905581873324
2017,OKC,0.573,1.89114189673659
2017,BKN,0.244,1.52097416921654
2018,GS,0.707,1.71626541909207
2014,IND,0.683,1.6376018769743
2018,DAL,0.293,1.50496256989763
2018,CHA,0.439,1.6999555599447
2018,OKC,0.585,1.50001125672352
2017,LAC,0.622,1.99373776908023
2014,TOR,0.585,1.72796278264633
2014,ORL,0.28,1.57276308223117
2017,PHI,0.341,1.60972222222222
2018,NO,0.585,1.75829991980754
2018,UTAH,0.585,1.61604574931019
2018,MIL,0.537,1.68383616819313
2014,DAL,0.598,1.67133434454863
2015,POR,0.622,1.64042533771449
2016,MIA,0.585,1.68223944948083
2018,MIN,0.573,1.84727727591384
2015,LAL,0.256,1.61043099285702
2014,OKC,0.72,1.714491166475
2014,UTAH,0.305,1.54731888754917
2014,CLE,0.402,1.72192831787473
2015,PHX,0.476,1.61920168499735
2017,LAL,0.317,1.58657620030618
2016,DET,0.537,1.68042444020278
2015,NY,0.207,1.5645935624659
2014,SAC,0.341,1.52597719322917
2018,DEN,0.561,1.72854605375792
