season,team,pct,sum_poe
2016,LAL,0.207,4.83093585839079
2015,CHA,0.402,5.59688250042213
2018,WSH,0.524,5.37314449381177
2016,HOU,0.5,5.25176229185795
2014,BOS,0.305,4.98643748846755
2015,MIL,0.5,5.0989986832325
2015,CHI,0.61,5.0872840104982
2018,BKN,0.341,4.89267527092343
2016,TOR,0.683,5.28868154606015
2016,IND,0.549,4.97408275281359
2016,GS,0.89,5.4546741438696
2016,SA,0.817,5.34040857154044
2018,HOU,0.793,4.89798712515997
2017,DET,0.451,5.11588610075365
2015,WSH,0.561,5.05847089854006
2014,MEM,0.61,5.14335984345303
2016,ORL,0.427,4.97023073013965
2014,MIL,0.183,4.98457744120022
2016,UTAH,0.488,5.10707168697291
2015,PHI,0.22,4.42164898031049
2016,DEN,0.402,5.09496614044462
2015,NO,0.549,5.39692142729371
2018,LAC,0.512,5.34329042518453
2016,CLE,0.695,5.53359972308903
2017,DAL,0.402,4.80508446937211
2016,OKC,0.671,5.32939547329682
2018,PHX,0.256,5.23835056987775
2017,SAC,0.39,5.10462042462753
2014,NO,0.415,5.25130549263531
2017,UTAH,0.622,5.1915015257269
2015,MEM,0.671,4.98172481241988
2018,POR,0.598,5.23151873485862
2016,MIL,0.402,4.9655715807005
2014,CHA,0.524,5.53182177894257
2016,ATL,0.585,4.91120849082007
2018,TOR,0.72,5.54789614241481
2015,SA,0.671,5.22401039768629
2018,IND,0.585,5.03598057836669
2017,WSH,0.598,5.27186772035978
2014,GS,0.622,5.32075521760549
2018,ATL,0.293,4.99899729950318
2017,MEM,0.524,4.90392412361094
2015,GS,0.817,5.39517707087618
2015,DEN,0.366,4.8409599657649
2014,CHI,0.585,4.86569036747566
2014,DEN,0.439,4.97050548526258
2016,PHX,0.28,4.94393410003853
2014,MIA,0.659,5.34477730785534
2018,ORL,0.305,5.11397884742987
2017,TOR,0.622,5.23011400261564
2018,SAC,0.329,5.05085613247132
2018,PHI,0.634,5.17053446238332
2018,NY,0.354,5.12924697596829
2014,MIN,0.488,5.24190034371379
2016,MIN,0.354,4.99980942163837
2014,POR,0.659,5.49784593603435
2015,MIN,0.195,4.88974247720938
2015,HOU,0.683,4.94330298449618
2015,IND,0.463,5.04379186349072
2015,BOS,0.488,4.99553022173888
2017,CHA,0.439,5.05162048735283
2015,ATL,0.732,4.94681867433134
2018,MEM,0.268,4.76799934224803
2018,CLE,0.61,5.30966542781559
2016,LAC,0.646,5.13753734329946
2015,TOR,0.598,5.18134479410551
2018,DET,0.476,4.90002335156834
2017,GS,0.817,5.48018954189394
2014,DET,0.354,5.30087987985859
2016,POR,0.537,5.41043122875945
2015,SAC,0.354,4.91498476565443
2014,PHX,0.585,5.00080057524346
2017,DEN,0.488,5.27552266433225
2015,DET,0.39,4.85768812526845
2016,PHI,0.122,4.62154760051882
2015,MIA,0.451,5.20730484429976
2017,NO,0.415,4.82708868887806
2017,HOU,0.671,5.35549881968191
2017,NY,0.378,5.55994642881728
2016,CHA,0.585,5.01125721498544
2017,BOS,0.646,5.1336096139334
2014,PHI,0.232,4.81252142469054
2016,DAL,0.512,5.04657715544681
2017,ORL,0.354,4.98710521290574
2014,HOU,0.659,5.23477837492456
2018,MIA,0.537,5.14237155369051
2018,LAL,0.427,5.21835897142943
2016,NO,0.366,5.05374878285224
2016,WSH,0.5,5.02871456664139
2014,WSH,0.537,5.04191490611898
2017,SA,0.744,5.53075292532274
2015,DAL,0.61,5.42830311064057
2014,BKN,0.537,4.99666492836852
2018,SA,0.573,4.97705046235717
2015,OKC,0.549,5.2098722267568
2014,LAC,0.695,5.41356308905389
2015,ORL,0.305,5.18425725686031
2014,ATL,0.463,5.1919834942693
2017,CHI,0.5,5.48950340251275
2016,BOS,0.585,5.1079811152217
2015,UTAH,0.463,5.27412762564498
2018,CHI,0.329,5.15213748425635
2016,CHI,0.512,4.8908444722685
2014,SA,0.756,5.23346491745091
2017,POR,0.5,5.10990023864001
2015,BKN,0.463,4.92091172113908
2014,NY,0.451,5.19902592225735
2014,LAL,0.329,5.13360810313977
2015,LAC,0.683,5.70622466814735
2017,IND,0.512,5.01093093820405
2017,CLE,0.622,5.30303232348785
2017,MIA,0.5,4.8311867631848
2016,SAC,0.402,5.21286661112415
2016,NY,0.39,4.90151528162825
2017,MIN,0.378,4.99658429238686
2017,MIL,0.512,5.11308204735934
2015,CLE,0.646,5.45046026900761
2018,BOS,0.671,4.78570059094866
2017,PHX,0.293,5.37136004012042
2016,BKN,0.256,4.85395667007502
2017,ATL,0.524,5.04309169046349
2016,MEM,0.512,4.8986567813743
2017,OKC,0.573,5.02611210585305
2017,BKN,0.244,4.71235040363625
2018,GS,0.707,5.42543717452351
2014,IND,0.683,4.90419147400071
2018,DAL,0.293,5.02878783178291
2018,CHA,0.439,4.91830814389037
2018,OKC,0.585,5.38923190915579
2017,LAC,0.622,5.39048116819103
2014,TOR,0.585,5.30135612247196
2014,ORL,0.28,4.92621102755083
2017,PHI,0.341,4.75244669836616
2018,NO,0.585,5.14490055903536
2018,UTAH,0.585,5.07770967557844
2018,MIL,0.537,5.02214268634057
2014,DAL,0.598,5.74728027883503
2015,POR,0.622,5.17338437101836
2016,MIA,0.585,5.02596462314049
2018,MIN,0.573,5.35751724674861
2015,LAL,0.256,5.12144513694974
2014,OKC,0.72,5.12362528934175
2014,UTAH,0.305,5.04768609245443
2014,CLE,0.402,5.24948878245273
2015,PHX,0.476,5.15651912840694
2017,LAL,0.317,4.87789373687951
2016,DET,0.537,4.92753986479764
2015,NY,0.207,4.87165235644763
2014,SAC,0.341,4.65653600405371
2018,DEN,0.561,5.21634313523044
