Season,TEAM,W,L,WIN_RATIO,MIN,PTS,FGM,FGA,FG_PCT,Three_PM,Three_PA,Three_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,Plus_Minus,PTS_OFF_TO,Second_Points,FBPS,PITP,OPPO_PTS_OFF_TO,OPPO_Second_Points,OPPO_FBPS,OPPO_PITP
2018,UTAH,48,34,0.585,48.2,104.1,38.3,82.9,46.2,10.8,29.6,36.6,16.8,21.5,77.9,9,34.2,43.3,22.4,14.7,8.6,5.1,4.6,19.6,20.5,4.3,16.8,11.4,10.2,44.4,16.4,10.8,9.5,41.8
2018,SA,47,35,0.573,48.1,102.7,39,85.4,45.7,8.5,24.1,35.2,16.1,20.9,77.2,10.4,33.9,44.2,22.8,13.1,7.7,5.6,3.9,17.2,19.7,2.9,16.3,13.4,10.3,43.8,15,12.2,12.5,44.1
2018,MIN,47,35,0.573,48.3,109.5,41,86.1,47.6,8,22.5,35.7,19.4,24.1,80.4,10.3,31.6,42,22.7,12.5,8.4,4.2,4.7,18.2,20.9,2.2,17.8,13.6,9.7,49.2,15.2,13,12.9,45.7
2018,DEN,46,36,0.561,48.5,110,40.7,86.6,47,11.5,30.9,37.1,17.1,22.3,76.7,11,33.5,44.5,25.1,15,7.6,4.9,4.8,18.7,20.7,1.5,16.9,14.0,13.4,49.0,18.7,11.2,13,47.3
2018,MIA,44,38,0.537,48.6,103.4,38.8,85.3,45.5,11,30.6,36,14.7,19.5,75.5,9.3,34.2,43.5,22.7,14.4,7.6,5.3,4.6,20.1,19.4,0.5,16.5,11.3,9.3,44.9,15.6,11.8,11,43.5
2018,MIL,44,38,0.537,48.4,106.5,39.7,83,47.8,8.8,24.7,35.5,18.3,23.4,78.3,8.4,31.5,39.8,23.2,13.8,8.8,5.4,4.5,21.4,19.9,-0.3,18.3,10.5,14.6,47.4,15.8,13,10.1,47.3
2018,WSH,43,39,0.524,48.4,106.6,39.9,85.6,46.7,9.9,26.5,37.5,16.8,21.8,77.2,10,33.1,43.1,25.2,14.6,7.9,4.3,4.7,21.3,20,0.6,17.2,12.7,11.6,42.3,17.1,13.1,11,45.4
2018,LAC,42,40,0.512,48.1,109,40.3,85.4,47.1,9.5,26.8,35.4,19,25.5,74.3,10.1,33.7,43.9,22.3,14.7,7.7,4.5,5.6,20,22,0,15.8,13.9,13.3,52.2,17.4,13.2,15.4,44.8
2018,DET,39,43,0.476,48.3,103.8,39.1,86.9,45,10.8,28.9,37.3,14.7,19.8,74.5,10.1,33.6,43.7,22.8,13.4,7.7,3.9,4.9,18.4,18.4,-0.1,16.6,12.6,10.8,43.6,14.9,11.2,9.9,43.6
2018,CHA,36,46,0.439,48.2,108.2,39,86.7,45,10,27.2,36.9,20.2,27,74.7,10.1,35.4,45.5,21.6,12.7,6.8,4.5,4.9,17.2,22.4,0.3,16.1,13.1,9.3,43.7,14.8,10.7,10.7,45.2
2018,LAL,35,47,0.427,48.5,108.1,40.7,88.4,46.1,10,29.1,34.5,16.6,23.3,71.4,10.7,35.7,46.4,23.8,15.8,7.7,4.7,5.5,21.2,20.5,-1.5,16.3,14.2,17.5,51.9,18.2,13.5,12.7,49
2018,NY,29,53,0.354,48.4,104.5,40.7,87.7,46.4,8.2,23.3,35.2,14.9,19,78.7,10.5,33.6,44,23.3,14.7,6.7,5.1,4.7,20.5,18.4,-3.6,15.1,13.4,8.6,46.7,17.4,13.2,11.4,43.4
2018,BKN,28,54,0.341,48.4,106.6,38.2,86.8,44.1,12.7,35.7,35.6,17.4,22.6,77.2,9.7,34.8,44.4,23.7,15.2,6.2,4.8,5.5,20.6,19.7,-3.7,14.2,12.5,10.7,43.8,17.3,13.6,11.6,47.8
2018,SAC,27,55,0.329,48.2,98.8,38.8,86.1,45,9,24,37.5,12.3,16.7,73.5,9.5,31.4,40.9,21.6,13.7,7.8,4.1,4.7,20,17.3,-7,15.2,11.4,10.4,43.5,15.7,11.6,12.3,42.2
