season,team,win_ratio,toe,new_toe
2018,HOU,0.793,0.434831460674157,0.536768963520556
2018,TOR,0.72,0.453846153846154,0.53393665158371
2018,GS,0.707,0.46471226927253,0.543161434977579
2018,BOS,0.671,0.426978818283166,0.507196315486471
2018,PHI,0.634,0.442516268980477,0.520224719101124
2018,CLE,0.61,0.448888888888889,0.530588907947398
2018,POR,0.598,0.435215946843854,0.506841505131129
2018,IND,0.585,0.452830188679245,0.515651678998292
2018,OKC,0.585,0.4453125,0.515375854214123
2018,NO,0.585,0.451851851851852,0.525274725274725
2018,UTAH,0.585,0.432279909706546,0.511709601873536
2018,SA,0.573,0.442678774120318,0.501740139211137
2018,MIN,0.573,0.464326160815402,0.517836593785961
2018,DEN,0.561,0.449227373068433,0.522203485103991
2018,MIA,0.537,0.429203539823009,0.506575185820469
2018,MIL,0.537,0.449095022624434,0.514886164623468
2018,WSH,0.524,0.442350332594235,0.510820045558087
2018,LAC,0.512,0.447777777777778,0.516924842226047
2018,DET,0.476,0.433481152993348,0.505394662123793
2018,CHA,0.439,0.436730123180291,0.502569960022844
2018,LAL,0.427,0.435294117647059,0.505530973451327
2018,NY,0.354,0.442872687704026,0.499442586399108
2018,BKN,0.341,0.413867822318527,0.499439461883408
2018,SAC,0.329,0.429678848283499,0.490651558073654
2018,CHI,0.329,0.415236051502146,0.483853311439518
2018,ORL,0.305,0.423580786026201,0.494097807757167
2018,DAL,0.293,0.422863485016648,0.501996577296064
2018,ATL,0.293,0.415669205658324,0.495195025438101
2018,MEM,0.268,0.415628539071348,0.482476635514019
2018,PHX,0.256,0.416216216216216,0.479710950528071
2017,GS,0.817,0.465945945945946,0.550757150869321
2017,SA,0.744,0.451205510907003,0.519219396806623
2017,HOU,0.671,0.440919037199125,0.53490990990991
2017,BOS,0.646,0.432250839865622,0.512055109070034
2017,UTAH,0.622,0.44205495818399,0.512254901960784
2017,TOR,0.622,0.453179190751445,0.512338425381904
2017,CLE,0.622,0.446808510638298,0.530588907947398
2017,LAC,0.622,0.452981651376147,0.524368761009982
2017,WSH,0.598,0.454345434543454,0.517474633596392
2017,OKC,0.573,0.437915742793792,0.494064443188242
2017,MEM,0.524,0.424737456242707,0.486390532544379
2017,ATL,0.524,0.423804226918799,0.492762015055009
2017,IND,0.512,0.440089585666293,0.501726121979287
2017,MIL,0.512,0.445464982778416,0.511545293072824
2017,CHI,0.5,0.436158192090396,0.485681557846506
2017,POR,0.5,0.440356744704571,0.50998288648032
2017,MIA,0.5,0.440180586907449,0.511343804537522
2017,DEN,0.488,0.453245324532453,0.521592821088054
2017,DET,0.451,0.4453125,0.495469988674972
2017,CHA,0.439,0.427922814982974,0.496223126089483
2017,NO,0.415,0.428258488499452,0.48993288590604
2017,DAL,0.402,0.41946697566628,0.492298578199052
2017,SAC,0.39,0.430681818181818,0.497069167643611
2017,MIN,0.378,0.454022988505747,0.504088785046729
2017,NY,0.378,0.438053097345133,0.491601343784994
2017,ORL,0.354,0.423204419889503,0.479706877113867
2017,PHI,0.341,0.408893709327549,0.486348122866894
2017,LAL,0.317,0.430921052631579,0.488008923591746
2017,PHX,0.293,0.433695652173913,0.484461709211987
2017,BKN,0.244,0.406889128094725,0.484831460674157
2016,GS,0.89,0.459459459459459,0.54804469273743
2016,SA,0.817,0.463048498845266,0.520597014925373
2016,CLE,0.695,0.444827586206897,0.517322372284204
2016,TOR,0.683,0.435866983372922,0.498480243161094
2016,OKC,0.671,0.460762331838565,0.518327605956472
2016,LAC,0.646,0.442263279445727,0.511558980438648
2016,MIA,0.585,0.446511627906977,0.498496692723993
2016,BOS,0.585,0.429353778751369,0.486864169927334
2016,CHA,0.585,0.420932878270762,0.493294460641399
2016,ATL,0.585,0.42371020856202,0.500287191269385
2016,IND,0.549,0.426503340757238,0.487341772151899
2016,DET,0.537,0.433638443935927,0.491594202898551
2016,POR,0.537,0.434195725534308,0.504022988505747
2016,DAL,0.512,0.426453819840365,0.490719257540603
2016,CHI ,0.512,0.427937915742794,0.480248306997743
2016,MEM,0.512,0.429404900816803,0.470484061393152
2016,HOU,0.5,0.427922814982974,0.498841251448436
2016,WSH,0.5,0.433114035087719,0.495755517826825
2016,UTAH,0.488,0.426713947990544,0.494182486221678
2016,ORL,0.427,0.43598233995585,0.490395480225989
2016,MIL,0.402,0.441887226697353,0.483529411764706
2016,DEN,0.402,0.425507900677201,0.478485370051635
2016,SAC,0.402,0.434782608695652,0.493273542600897
2016,NY,0.39,0.424137931034483,0.476805637110981
2016,NO,0.366,0.428730512249443,0.488584474885845
2016,MIN,0.354,0.436848203939745,0.483273596176822
2016,PHX,0.28,0.407447973713034,0.470124013528749
2016,BKN,0.256,0.430665163472379,0.475071633237822
2016,LAL,0.207,0.399772209567198,0.450606585788562
2016,PHI,0.122,0.398239823982398,0.463414634146341
2015,GS,0.817,0.456641053787047,0.531975099037917
2015,ATL,0.732,0.436926605504587,0.51279000594884
2015,HOU,0.683,0.419026047565119,0.498540572095738
2015,LAC,0.683,0.458139534883721,0.52603550295858
2015,MEM,0.671,0.442622950819672,0.486161251504212
2015,SA,0.671,0.445330296127563,0.508225616921269
2015,CLE,0.646,0.441451990632318,0.509231685527099
2015,POR,0.622,0.435320584926884,0.502014968336212
2015,CHI,0.61,0.429577464788732,0.484757919904363
2015,DAL,0.61,0.44960362400906,0.508347725964306
2015,TOR,0.598,0.44327485380117,0.505671641791045
2015,WSH,0.561,0.438717067583047,0.486756915832843
2015,NO,0.549,0.447461629279811,0.496407185628742
