season,team,win_ratio,old_net_rating
2014,CHI       ,0.585,0.232616065284486
2014,PHX       ,0.585,0.750310559006218
2014,WSH       ,0.537,1.20113145904985
2014,BKN       ,0.537,-0.510936431989062
2014,CHA       ,0.524,0.391086156604858
2014,MIN       ,0.488,-0.602224831425097
2014,ATL       ,0.463,-1.62328867838375
2014,NY        ,0.451,0.117628810010079
2014,DEN       ,0.439,-1.22905027932961
2014,NO        ,0.415,0.065280474399526
2014,CLE       ,0.402,-0.770948364143115
2014,DET       ,0.354,-0.190469136063753
2014,SAC       ,0.341,-0.948467420430049
2014,LAL       ,0.329,-4.21379420397782
2014,UTAH      ,0.305,-3.47543976268193
2014,BOS       ,0.305,-2.66073714709251
2014,ORL       ,0.28,-1.71313836615838
2014,PHI       ,0.232,-3.37292503146163
2014,MIL       ,0.183,-3.39236717385882
