Season,TEAM,win,loss,pct,home,away,div,conf,ppg,opp_ppg,diff,RK,PLAYER,GP,MPG,TS,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA
2014,LAC,57,25,0.695,34-7,23-18,12-4,36-16,107.9,101,7,276,Danny Granger,41,20.7,0.502,9.7,10.9,18.2,4.3,12.9,8.8,10.9,5,0.2
2014,LAC,57,25,0.695,34-7,23-18,12-4,36-16,107.9,101,7,314,Jared Dudley,74,23.4,0.541,16.4,8.9,12.8,2.4,7.7,5.1,8.91,-41.1,-1.4
2014,LAC,57,25,0.695,34-7,23-18,12-4,36-16,107.9,101,7,331,Willie Green,55,15.8,0.477,13.5,9.2,15.2,1.6,8.2,5,7.13,-43.7,-1.5
2014,IND,56,26,0.683,35-6,21-20,12-4,38-14,96.7,92.3,4.4,26,Paul George,80,36.2,0.555,13.7,10.8,26.4,2.6,17.7,10.5,20.16,417.9,13.9
2014,IND,56,26,0.683,35-6,21-20,12-4,38-14,96.7,92.3,4.4,68,David West,80,30.9,0.533,15.9,9.5,20.6,5.7,18.3,12.3,17.55,223.1,7.4
2014,IND,56,26,0.683,35-6,21-20,12-4,38-14,96.7,92.3,4.4,,Andrew Bynum,26,19.8,0.456,9.4,11,21.9,11.3,20.4,15.8,15.25,35.8,1.2
2014,IND,56,26,0.683,35-6,21-20,12-4,38-14,96.7,92.3,4.4,,Lance Stephenson,78,35.3,0.564,23.5,13.8,19,4.1,18.1,11.4,14.72,173.3,5.8
2014,IND,56,26,0.683,35-6,21-20,12-4,38-14,96.7,92.3,4.4,188,Roy Hibbert,81,29.7,0.499,8.2,13.3,17.7,9.9,15,12.5,13.54,105.7,3.5
2014,IND,56,26,0.683,35-6,21-20,12-4,38-14,96.7,92.3,4.4,191,Luis Scola,82,17.1,0.505,10,13.4,21.9,7.2,23.4,15.7,13.42,40.2,1.3
2014,IND,56,26,0.683,35-6,21-20,12-4,38-14,96.7,92.3,4.4,,George Hill,76,32,0.563,25.2,8.8,14.6,2.6,10.1,6.5,13.42,87.7,2.9
2014,IND,56,26,0.683,35-6,21-20,12-4,38-14,96.7,92.3,4.4,205,C.J. Watson,63,18.9,0.555,19.8,11.1,15.9,1.9,7.4,4.8,13.08,37,1.2
2014,IND,56,26,0.683,35-6,21-20,12-4,38-14,96.7,92.3,4.4,,Lavoy Allen,65,16.5,0.47,16.2,10.1,16.1,11.7,20,15.7,12.52,16.3,0.5
2014,IND,56,26,0.683,35-6,21-20,12-4,38-14,96.7,92.3,4.4,233,Evan Turner,81,30.3,0.498,16.5,11.9,18.5,2.7,15.7,9.1,12.43,70.9,2.4
2014,IND,56,26,0.683,35-6,21-20,12-4,38-14,96.7,92.3,4.4,276,Danny Granger,41,20.7,0.502,9.7,10.9,18.2,4.3,12.9,8.8,10.9,5,0.2
2014,IND,56,26,0.683,35-6,21-20,12-4,38-14,96.7,92.3,4.4,,Ian Mahinmi,77,16.2,0.538,7.2,17.3,10.4,10.1,12.9,11.6,10.18,-7.9,-0.3
2014,MIA,54,28,0.659,32-9,22-19,12-4,34-18,102.2,97.4,4.8,2,LeBron James,77,37.7,0.649,20.6,11.4,29.1,3.6,18.9,11.5,29.4,818.5,27.3
2014,MIA,54,28,0.659,32-9,22-19,12-4,34-18,102.2,97.4,4.8,18,Dwyane Wade,54,32.9,0.588,19.6,12.5,26.1,4.4,12.4,8.5,22.06,306.3,10.2
2014,MIA,54,28,0.659,32-9,22-19,12-4,34-18,102.2,97.4,4.8,41,Chris Bosh,79,32,0.597,6.8,9.7,20,5.1,20.3,13,19.11,321.5,10.7
2014,MIA,54,28,0.659,32-9,22-19,12-4,34-18,102.2,97.4,4.8,52,Chris Andersen,72,19.4,0.683,4.5,12.6,12.1,12.1,21.7,17.1,18.56,147,4.9
2014,MIA,54,28,0.659,32-9,22-19,12-4,34-18,102.2,97.4,4.8,81,Michael Beasley,55,15.1,0.559,8.4,11.7,22.9,4.9,20.5,13,16.8,78.2,2.6
2014,MIA,54,28,0.659,32-9,22-19,12-4,34-18,102.2,97.4,4.8,166,Mario Chalmers,73,29.8,0.567,31,14.1,17.3,2.5,9.6,6.2,14.06,99.6,3.3
2014,MIA,54,28,0.659,32-9,22-19,12-4,34-18,102.2,97.4,4.8,210,Ray Allen,73,26.5,0.59,17.4,10.2,15.5,1.6,11.4,6.7,12.83,67.4,2.2
2014,MIA,54,28,0.659,32-9,22-19,12-4,34-18,102.2,97.4,4.8,281,Rashard Lewis,60,16.2,0.535,16.6,10.2,13,3.2,10.7,7.1,10.74,-11,-0.4
2014,MIA,54,28,0.659,32-9,22-19,12-4,34-18,102.2,97.4,4.8,283,Udonis Haslem,46,14.2,0.523,6.4,11.9,12.3,8.4,24.7,16.8,10.57,-9.1,-0.3
2014,MIA,54,28,0.659,32-9,22-19,12-4,34-18,102.2,97.4,4.8,310,Toney Douglas,51,13.2,0.493,22.2,11.1,16.5,3.3,11.8,7.6,9.2,-18.1,-0.6
2014,MIA,54,28,0.659,32-9,22-19,12-4,34-18,102.2,97.4,4.8,315,Norris Cole,82,24.6,0.497,27.4,14,15.2,1.1,8.6,5,8.8,-66,-2.2
2014,MIA,54,28,0.659,32-9,22-19,12-4,34-18,102.2,97.4,4.8,318,Shane Battier,73,20.1,0.523,17.1,5.7,9.2,3,8.6,5.9,8.7,-39.5,-1.3
2014,HOU,54,28,0.659,33-8,21-20,11-5,31-21,107.7,103.1,4.6,14,James Harden,73,38,0.618,20.2,12,26.8,2.6,10.7,6.9,23.51,539.2,18
2014,HOU,54,28,0.659,33-8,21-20,11-5,31-21,107.7,103.1,4.6,22,Dwight Howard,71,33.7,0.6,9.1,15.9,22,11.4,27.9,20.1,21.36,384.8,12.8
2014,HOU,54,28,0.659,33-8,21-20,11-5,31-21,107.7,103.1,4.6,40,Terrence Jones,76,27.3,0.577,9.1,7.4,16.8,9.2,18.5,14.1,19.14,236.9,7.9
2014,HOU,54,28,0.659,33-8,21-20,11-5,31-21,107.7,103.1,4.6,110,Chandler Parsons,74,37.6,0.565,19.5,9.4,18.6,2.9,12.8,8.2,15.9,224.3,7.5
2014,HOU,54,28,0.659,33-8,21-20,11-5,31-21,107.7,103.1,4.6,158,Jeremy Lin,71,28.9,0.572,23.5,14.1,20,2,7.8,5.1,14.31,101.4,3.4
2014,HOU,54,28,0.659,33-8,21-20,11-5,31-21,107.7,103.1,4.6,,Omer Asik,48,20.2,0.57,7.6,17.9,12.6,12.3,30.1,21.7,14.05,49.8,1.7
2014,HOU,54,28,0.659,33-8,21-20,11-5,31-21,107.7,103.1,4.6,208,Omri Casspi,71,18.1,0.528,14.1,11.5,17.2,5.1,16.8,11.3,12.91,46.2,1.5
2014,HOU,54,28,0.659,33-8,21-20,11-5,31-21,107.7,103.1,4.6,214,Jordan Hamilton,60,17,0.507,10.5,9.3,17.5,3.5,17,10.4,12.75,34.2,1.1
2014,HOU,54,28,0.659,33-8,21-20,11-5,31-21,107.7,103.1,4.6,228,Aaron Brooks,72,21.6,0.518,24,12,20.8,3.1,6.7,4.9,12.51,35,1.2
2014,HOU,54,28,0.659,33-8,21-20,11-5,31-21,107.7,103.1,4.6,,Patrick Beverley,56,31.3,0.545,20.3,8.9,14.3,4.9,7.4,6.2,12.43,37.4,1.2
2014,HOU,54,28,0.659,33-8,21-20,11-5,31-21,107.7,103.1,4.6,280,Donatas Motiejunas,62,15.4,0.504,8.1,11.6,16.3,7.4,18.2,13.1,10.76,-10.5,-0.4
2014,HOU,54,28,0.659,33-8,21-20,11-5,31-21,107.7,103.1,4.6,309,Francisco Garcia,55,19.7,0.521,15.9,7.6,12.7,2.3,9.8,6.3,9.37,-18.2,-0.6
2014,POR,54,28,0.659,31-10,23-18,13-3,31-21,106.7,102.8,4,19,LaMarcus Aldridge,69,36.2,0.507,9.5,6.5,27.9,7.2,25.6,16.5,21.84,385.7,12.9
2014,POR,54,28,0.659,31-10,23-18,13-3,31-21,106.7,102.8,4,51,Damian Lillard,82,35.8,0.568,21.3,9,24.7,1.3,9.2,5.3,18.69,337.1,11.2
2014,POR,54,28,0.659,31-10,23-18,13-3,31-21,106.7,102.8,4,65,Robin Lopez,82,31.8,0.605,8,9.3,13,13.6,15.3,14.5,17.68,275.2,9.2
2014,POR,54,28,0.659,31-10,23-18,13-3,31-21,106.7,102.8,4,113,Nicolas Batum,82,36,0.589,27.3,13.5,16.8,4.3,17.8,11.1,15.86,236.7,7.9
2014,POR,54,28,0.659,31-10,23-18,13-3,31-21,106.7,102.8,4,116,Wesley Matthews,82,33.9,0.588,13.6,7.6,18.7,2,9.1,5.6,15.7,215.9,7.2
2014,POR,54,28,0.659,31-10,23-18,13-3,31-21,106.7,102.8,4,162,Thomas Robinson,70,12.5,0.502,7.9,13.3,18.4,13.1,24.6,18.9,14.15,34.6,1.2
2014,POR,54,28,0.659,31-10,23-18,13-3,31-21,106.7,102.8,4,247,Dorell Wright,68,14.5,0.524,14.9,9.1,15.6,3.2,17.5,10.5,11.98,21.7,0.7
2014,POR,54,28,0.659,31-10,23-18,13-3,31-21,106.7,102.8,4,251,Mo Williams,74,24.8,0.507,27.2,12.6,20.9,2.5,6.4,4.5,11.87,23.7,0.8
2014,POR,54,28,0.659,31-10,23-18,13-3,31-21,106.7,102.8,4,262,Joel Freeland,52,14,0.498,14.8,13.2,11.9,13.2,17.6,15.4,11.34,8,0.3
2014,GS,51,31,0.622,27-14,24-17,11-5,31-21,104.3,99.5,4.8,10,Stephen Curry,78,36.5,0.61,26.7,11.8,28.2,1.8,10.9,6.4,24.13,557.6,18.6
2014,GS,51,31,0.622,27-14,24-17,11-5,31-21,104.3,99.5,4.8,39,David Lee,69,33.2,0.566,10.4,10.8,22.4,8.8,21.6,15.3,19.21,263.2,8.8
2014,GS,51,31,0.622,27-14,24-17,11-5,31-21,104.3,99.5,4.8,74,Andrew Bogut,67,26.4,0.61,18.3,15.8,11.9,11.4,29.7,20.7,17.11,171.8,5.7
2014,GS,51,31,0.622,27-14,24-17,11-5,31-21,104.3,99.5,4.8,,Jermaine O'Neal,44,20.1,0.57,6.5,13.6,16.2,10.7,19.1,15,15.34,62.5,2.1
2014,GS,51,31,0.622,27-14,24-17,11-5,31-21,104.3,99.5,4.8,,Marreese Speights,79,12.4,0.507,5.3,11,23,11.4,20.6,16.1,15.22,54.5,1.8
