Season,Player,position,age,Team,gp,gs,mpg,FG,FGa,FGp,3_PPG,3_PA,3_PP,2_PPG,2_PA,2_PP,FT,FTa,FTp,orb,drb,trb,ast,stl,blk,tov,PF,ppg
2014,Shane Battier,SF,35,MIA,73,56,20.1,1.4,3.8,0.382,1,2.9,0.348,0.4,0.9,0.492,0.2,0.3,0.652,0.5,1.4,1.9,0.9,0.7,0.5,0.3,1.7,4.1
2014,Nicolas Batum,SF,25,POR,82,82,36,4.6,10,0.465,1.8,4.9,0.361,2.9,5.1,0.566,2,2.5,0.803,1.4,6,7.5,5.1,0.9,0.7,2.5,1.9,13
2014,Jerryd Bayless,PG,25,,72,19,23.4,3.4,8.6,0.402,1.1,2.9,0.358,2.4,5.6,0.425,1.3,1.6,0.797,0.3,1.7,2,2.7,0.8,0.1,1.1,2.2,9.3
2014,Jerryd Bayless,PG,25,MEM,31,5,21,2.9,7.7,0.377,0.8,2.7,0.301,2.1,5,0.417,1.5,1.8,0.789,0.3,1.6,1.9,2.1,0.6,0.2,0.7,2.3,8.1
2014,Jerryd Bayless,PG,25,BOS,41,14,25.3,3.9,9.2,0.418,1.2,3.1,0.395,2.6,6.1,0.43,1.2,1.5,0.803,0.3,1.8,2.1,3.1,1,0.1,1.5,2.2,10.1
2014,Aron Baynes,C,27,SA,53,4,9.3,1.3,3.1,0.436,0,0,,1.3,3.1,0.436,0.4,0.4,0.905,1.1,1.7,2.7,0.6,0,0.1,0.7,1.5,3
2014,Kent Bazemore,SG,24,,67,15,13.6,2.2,5.1,0.429,0.6,1.9,0.336,1.6,3.2,0.484,1,1.6,0.606,0.1,1.6,1.7,1.4,0.6,0.2,1.2,1.5,6
2014,Kent Bazemore,SG,24,GS,44,0,6.1,0.8,2.2,0.371,0.2,0.9,0.256,0.6,1.3,0.448,0.4,0.8,0.528,0.1,0.8,0.9,0.5,0.3,0.1,0.6,1,2.3
2014,Kent Bazemore,SG,24,LAL,23,15,28,4.8,10.7,0.451,1.4,3.9,0.371,3.4,6.8,0.497,2,3.2,0.644,0.2,3.1,3.3,3.1,1.3,0.3,2.2,2.6,13.1
2014,Bradley Beal,SG,20,WSH,73,73,34.7,6.6,15.7,0.419,1.9,4.7,0.402,4.7,11,0.426,2,2.6,0.788,0.7,3,3.7,3.3,1,0.2,1.8,2.1,17.1
2014,Michael Beasley,SF,25,MIA,55,2,15.1,3.2,6.5,0.499,0.4,1,0.389,2.8,5.5,0.518,1.1,1.4,0.772,0.6,2.6,3.1,0.8,0.4,0.4,1,1.7,7.9
2014,Marco Belinelli,SF,27,SA,80,25,25.2,4.2,8.7,0.485,1.6,3.7,0.43,2.6,5,0.525,1.4,1.6,0.847,0.2,2.6,2.8,2.2,0.6,0.1,1.2,1.6,11.4
2014,Anthony Bennett,PF,20,CLE,52,0,12.8,1.5,4.3,0.356,0.3,1,0.245,1.3,3.3,0.39,0.8,1.3,0.638,0.9,2,3,0.3,0.4,0.2,0.9,1.8,4.2
2014,Patrick Beverley,PG,25,HOU,56,55,31.3,3.6,8.6,0.414,1.6,4.6,0.361,1.9,4,0.473,1.5,1.8,0.814,1.3,2.2,3.5,2.7,1.4,0.4,1.2,3.1,10.2
2014,Andris Biedrins,C,27,UTAH,6,0,7.5,0.2,0.2,1,0,0,,0.2,0.2,1,0.2,1,0.167,0.3,2.5,2.8,0,0,0,0.3,1,0.5
2014,Chauncey Billups,SG,37,DET,19,7,16.3,1.3,4.2,0.304,0.7,2.5,0.292,0.5,1.6,0.323,0.5,0.6,0.833,0.2,1.3,1.5,2.2,0.4,0.1,1.3,1.3,3.8
2014,Bismack Biyombo,C,21,CHA,77,9,13.9,1.1,1.9,0.611,0,0,,1.1,1.9,0.611,0.6,1.2,0.517,1.4,3.4,4.8,0.1,0.1,1.1,0.5,1.6,2.9
2014,DeJuan Blair,PF,24,DAL,78,13,15.6,2.7,5,0.534,0,0,0,2.7,5,0.537,1,1.6,0.636,1.8,2.9,4.7,0.9,0.8,0.3,1,2.5,6.4
2014,Steve Blake,PG,33,,55,28,27.2,2.4,6.4,0.377,1.4,3.8,0.376,1,2.6,0.378,0.6,0.8,0.767,0.2,2.7,2.9,5.6,1,0.1,1.9,1.5,6.9
2014,Steve Blake,PG,33,LAL,27,27,33,3.3,8.6,0.378,1.9,4.9,0.397,1.3,3.8,0.353,1,1.3,0.8,0.3,3.5,3.8,7.6,1.3,0.1,2.6,1.8,9.5
2014,Steve Blake,PG,33,GS,28,1,21.7,1.6,4.3,0.375,1,2.8,0.342,0.6,1.5,0.439,0.2,0.3,0.625,0.2,1.8,2,3.6,0.7,0.2,1.1,1.3,4.4
2014,Andray Blatche,PF,27,BKN,73,7,22.2,4.4,9.2,0.476,0.2,0.7,0.278,4.2,8.5,0.494,2.2,3,0.742,1.6,3.7,5.3,1.5,1,0.5,1.5,2.3,11.2
2014,Eric Bledsoe,PG,24,PHX,43,40,32.9,6.2,12.9,0.477,1.2,3.3,0.357,5,9.7,0.517,4.3,5.5,0.772,0.6,4.1,4.7,5.5,1.6,0.3,3.3,2.3,17.7
2014,Vander Blue,SG,21,BOS,3,0,5,0.7,1.3,0.5,0,0.3,0,0.7,1,0.667,0.3,1.7,0.2,0,1,1,0.3,0,0,0.7,0.3,1.7
2014,Keith Bogans,SG,33,BOS,6,0,9.2,0.5,1,0.5,0.5,1,0.5,0,0,,0.5,0.5,1,0,0.5,0.5,0.5,0.2,0,0.2,0.3,2
2014,Andrew Bogut,C,29,GS,67,67,26.4,3.5,5.6,0.627,0,0,,3.5,5.6,0.627,0.3,1,0.344,2.7,7.3,10,1.7,0.7,1.8,1.4,3.1,7.3
2014,Matt Bonner,PF,33,SA,61,0,11.3,1.2,2.7,0.445,0.7,1.6,0.429,0.5,1.1,0.47,0.1,0.2,0.75,0.3,1.9,2.1,0.5,0.2,0.2,0.3,0.8,3.2
2014,Trevor Booker,PF,26,WSH,72,45,21.6,3.1,5.6,0.551,0,0,0,3.1,5.6,0.554,0.7,1.1,0.618,2.1,3.2,5.3,0.9,0.6,0.6,0.8,1.8,6.8
2014,Carlos Boozer,PF,32,CHI,76,76,28.2,5.9,12.9,0.456,0,0,0,5.9,12.9,0.457,1.9,2.5,0.767,1.8,6.5,8.3,1.6,0.7,0.3,2,2.8,13.7
2014,Chris Bosh,C,29,MIA,79,79,32,6.2,12.1,0.516,0.9,2.8,0.339,5.3,9.3,0.569,2.8,3.4,0.82,1.2,5.4,6.6,1.1,1,1,1.6,2.4,16.2
2014,Avery Bradley,SG,23,BOS,60,58,30.9,6,13.8,0.438,1.3,3.3,0.395,4.7,10.4,0.451,1.5,1.9,0.804,0.8,3,3.8,1.4,1.1,0.2,1.6,2.4,14.9
2014,Elton Brand,C,34,ATL,73,15,19.4,2.5,4.5,0.539,0,0,0,2.5,4.5,0.542,0.8,1.3,0.649,1.3,3.6,4.9,1,0.5,1.2,0.8,2.6,5.7
2014,Corey Brewer,SF,27,MIN,81,81,32.2,4.8,10,0.481,0.7,2.6,0.28,4.1,7.4,0.552,2,2.8,0.718,0.8,1.8,2.6,1.7,1.9,0.4,1.3,2.6,12.3
2014,Ronnie Brewer,SF,28,,24,3,6.7,0.1,0.6,0.2,0,0.3,0.125,0.1,0.3,0.286,0,0.1,0,0.1,0.5,0.6,0.4,0.3,0,0.1,0.2,0.3
2014,Ronnie Brewer,SF,28,HOU,23,3,6.9,0.1,0.7,0.2,0,0.3,0.125,0.1,0.3,0.286,0,0.1,0,0.1,0.5,0.6,0.4,0.3,0,0.1,0.2,0.3
2014,Ronnie Brewer,SF,28,CHI,1,0,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
2014,Aaron Brooks,PG,29,,72,12,21.6,3.2,8.1,0.401,1.3,3.4,0.387,1.9,4.6,0.411,1.2,1.3,0.874,0.6,1.3,1.9,3.2,0.7,0.2,1.6,2,9
