Season,TEAM,win,loss,pct,home,away,div,conf,ppg,opp_ppg,diff,RK,PLAYER,GP,MPG,TS,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA
2014,OKC,59,23,0.72,34-7,25-16,11-5,36-16,106.2,99.8,6.3,432,Kendrick Perkins,62,19.5,0.474,17.7,23.7,10.9,8.1,19.9,14.3,6.32,-77.1,-2.6
2014,OKC,59,23,0.72,34-7,25-16,11-5,36-16,106.2,99.8,6.3,461,Hasheem Thabeet,23,8.3,0.536,2.5,34.8,8.1,5.6,17.4,11.7,2.58,-23,-0.8
2014,OKC,59,23,0.72,34-7,25-16,11-5,36-16,106.2,99.8,6.3,472,Ryan  Gomes,5,6.8,0.375,10,10,10.8,0,12.7,6.6,0.19,0,0
2014,OKC,59,23,0.72,34-7,25-16,11-5,36-16,106.2,99.8,6.3,480,Mustafa Shakur,3,3.7,0.129,40.5,20.2,25.8,0,0,0,-8.78,0,0
2014,OKC,59,23,0.72,34-7,25-16,11-5,36-16,106.2,99.8,6.3,481,Royal Ivey,2,2.5,0,0,0,15.7,0,21.5,11.3,-16.48,0,0
2014,LAC,57,25,0.695,34-7,23-18,12-4,36-16,107.9,101,7,8,Chris Paul,62,35,0.58,36.2,7.9,25,2,11.4,6.9,25.98,485.2,16.2
2014,LAC,57,25,0.695,34-7,23-18,12-4,36-16,107.9,101,7,13,Blake Griffin,80,35.8,0.583,14.1,10.2,27.1,7.7,21.2,14.7,23.98,533.3,17.8
2014,LAC,57,25,0.695,34-7,23-18,12-4,36-16,107.9,101,7,41,Maalik Wayns,2,4.5,0.5,50,0,11.6,0,23.9,12.3,19.3,0,0
2014,LAC,57,25,0.695,34-7,23-18,12-4,36-16,107.9,101,7,67,DeAndre Jordan,82,35,0.63,8.4,14,11.3,13.3,29.3,21.6,18.19,325.1,10.8
2014,LAC,57,25,0.695,34-7,23-18,12-4,36-16,107.9,101,7,78,Jamal Crawford,69,30.3,0.556,14.8,8.9,25.5,1.9,6.4,4.2,17.39,215.2,7.2
2014,LAC,57,25,0.695,34-7,23-18,12-4,36-16,107.9,101,7,93,JJ Redick,35,28.2,0.598,13.8,7.4,20.3,1,7.1,4.2,16.64,90.5,3
2014,LAC,57,25,0.695,34-7,23-18,12-4,36-16,107.9,101,7,111,Darren Collison,80,25.9,0.575,24.3,10.8,19.4,2.6,7.3,5,16.21,160.8,5.4
2014,LAC,57,25,0.695,34-7,23-18,12-4,36-16,107.9,101,7,227,Glen Davis,68,24.4,0.491,9.6,9.4,14,7.4,16.4,11.9,13.14,40.6,1.4
2014,LAC,57,25,0.695,34-7,23-18,12-4,36-16,107.9,101,7,242,Byron Mullens,45,9.2,0.544,6.5,12.6,19.1,6.3,18.1,12.1,12.81,13.6,0.5
2014,LAC,57,25,0.695,34-7,23-18,12-4,36-16,107.9,101,7,283,Matt Barnes,63,27.5,0.552,16.1,10.9,15.6,4,14.4,9.4,12.05,40.2,1.3
2014,LAC,57,25,0.695,34-7,23-18,12-4,36-16,107.9,101,7,,Ryan Hollins,61,7.9,0.73,6,21.7,10.4,7.4,13.1,10.4,11.89,9.3,0.3
2014,LAC,57,25,0.695,34-7,23-18,12-4,36-16,107.9,101,7,306,Hedo Turkoglu,38,10.3,0.492,19.9,9.6,14.4,3.2,21.4,12.6,11.36,5,0.2
2014,LAC,57,25,0.695,34-7,23-18,12-4,36-16,107.9,101,7,327,Danny Granger,41,20.7,0.502,9.7,10.9,18.2,4.3,12.9,8.8,10.9,5,0.2
2014,LAC,57,25,0.695,34-7,23-18,12-4,36-16,107.9,101,7,375,Darius Morris,27,11.6,0.498,24.7,15.1,12.7,0,0,0,9.28,0,0
2014,LAC,57,25,0.695,34-7,23-18,12-4,36-16,107.9,101,7,383,Jared Dudley,74,23.4,0.541,16.4,8.9,12.8,2.4,7.7,5.1,8.91,-41.1,-1.4
2014,LAC,57,25,0.695,34-7,23-18,12-4,36-16,107.9,101,7,409,Antawn Jamison,22,11.3,0.408,6,6,17.7,4.2,19.9,12.3,7.79,0,0
2014,LAC,57,25,0.695,34-7,23-18,12-4,36-16,107.9,101,7,423,Willie Green,55,15.8,0.477,13.5,9.2,15.2,1.6,8.2,5,7.13,-43.7,-1.5
2014,LAC,57,25,0.695,34-7,23-18,12-4,36-16,107.9,101,7,427,Reggie Bullock,43,9.2,0.46,8,8.7,14,3.2,11.7,7.6,6.75,-22.2,-0.7
2014,LAC,57,25,0.695,34-7,23-18,12-4,36-16,107.9,101,7,468,Sasha Vujacic,2,5,0.5,0,37.5,31.3,0,32.2,16.7,1.59,0,0
2014,LAC,57,25,0.695,34-7,23-18,12-4,36-16,107.9,101,7,474,Stephen  Jackson,9,11.9,0.27,12.9,15.5,13,2.2,8,5.2,0.16,0,0
2014,IND,56,26,0.683,35-6,21-20,12-4,38-14,96.7,92.3,4.4,28,Paul George,80,36.2,0.555,13.7,10.8,26.4,2.6,17.7,10.5,20.16,417.9,13.9
2014,IND,56,26,0.683,35-6,21-20,12-4,38-14,96.7,92.3,4.4,,Chris Copeland,41,6.5,0.621,11.6,9,21.9,3.1,10.1,6.8,17.69,28.4,0.9
2014,IND,56,26,0.683,35-6,21-20,12-4,38-14,96.7,92.3,4.4,76,David West,80,30.9,0.533,15.9,9.5,20.6,5.7,18.3,12.3,17.55,223.1,7.4
2014,IND,56,26,0.683,35-6,21-20,12-4,38-14,96.7,92.3,4.4,,Andrew Bynum,26,19.8,0.456,9.4,11,21.9,11.3,20.4,15.8,15.25,35.8,1.2
2014,IND,56,26,0.683,35-6,21-20,12-4,38-14,96.7,92.3,4.4,,Lance Stephenson,78,35.3,0.564,23.5,13.8,19,4.1,18.1,11.4,14.72,173.3,5.8
2014,IND,56,26,0.683,35-6,21-20,12-4,38-14,96.7,92.3,4.4,209,Roy Hibbert,81,29.7,0.499,8.2,13.3,17.7,9.9,15,12.5,13.54,105.7,3.5
2014,IND,56,26,0.683,35-6,21-20,12-4,38-14,96.7,92.3,4.4,213,Luis Scola,82,17.1,0.505,10,13.4,21.9,7.2,23.4,15.7,13.42,40.2,1.3
2014,IND,56,26,0.683,35-6,21-20,12-4,38-14,96.7,92.3,4.4,,George Hill,76,32,0.563,25.2,8.8,14.6,2.6,10.1,6.5,13.42,87.7,2.9
2014,IND,56,26,0.683,35-6,21-20,12-4,38-14,96.7,92.3,4.4,232,C.J. Watson,63,18.9,0.555,19.8,11.1,15.9,1.9,7.4,4.8,13.08,37,1.2
