season,team,win_ratio,team_PER
2014,ATL,46.3,10.7692750107379
2014,BKN,53.7,10.7470507278329
2014,BOS,30.5,10.7186555864205
2014,CHA,52.4,10.8169697546972
2014,CHI,58.5,10.898312004381
2014,CLE,40.2,10.8430591642459
2014,DAL,59.8,10.9233328000476
2014,DEN,43.9,10.7517957957746
2014,DET,35.4,10.8775961980447
2014,GS,62.2,10.9049381830231
2014,HOU,65.9,10.9171936087388
2014,IND,68.3,10.8704347889901
2014,LAC,69.5,10.9723144277576
2014,LAL,32.9,10.6448981168972
2014,MEM,61,10.7814987777085
2014,MIA,65.9,10.9123713842216
2014,MIL,18.3,10.6707050637563
2014,MIN,48.8,10.8880730353729
2014,NO,41.5,10.7433263017908
2014,NY,45.1,10.7928253595809
2014,OKC,72,10.9136091289667
2014,ORL,28,10.7406092378588
2014,PHI,23.2,10.7276293683604
2014,PHX,58.5,10.9024564651797
2014,POR,65.9,10.9306455734957
2014,SA,75.6,10.8389265004327
2014,SAC,34.1,10.8631733217372
2014,TOR,58.5,10.9937677381716
2014,UTAH,30.5,10.8084671992766
2014,WSH,53.7,10.8715558417016
2015,ATL,73.2,10.8583752029279
2015,BKN,46.3,10.8407902756846
2015,BOS,48.8,10.7974275440032
2015,CHA,40.2,10.708436372968
2015,CHI,61,10.8823516223166
2015,CLE,64.6,10.983311161837
2015,DAL,61,10.8871814417779
2015,DEN,36.6,10.7697887393778
2015,DET,39,10.8725474271877
2015,GS,81.7,10.9242411227153
2015,HOU,68.3,10.8691721869056
2015,IND,46.3,10.6717338515054
2015,LAC,68.3,10.9815909483974
2015,LAL,25.6,10.6683504415655
2015,MEM,67.1,10.8758612966435
2015,MIA,45.1,10.8063308765834
2015,MIL,50,10.7427632215267
2015,MIN,19.5,10.7531247720995
2015,NO,54.9,10.8634921868906
2015,NY,20.7,10.5224876140218
2015,OKC,54.9,10.9232929176846
2015,ORL,30.5,10.7311690483765
2015,PHI,22,10.5269192432412
2015,PHX,47.6,10.9450746770978
2015,POR,62.2,10.8767251570726
2015,SA,67.1,10.8226988703319
2015,SAC,35.4,10.7288957185483
2015,TOR,59.8,10.8901166421995
2015,UTAH,46.3,10.878805664505
2015,WSH,56.1,10.7571533979468
2016,ATL,58.5,10.8396366193915
2016,BKN,25.6,10.7022747517575
2016,BOS,58.5,10.8320292651647
2016,CHA,58.5,10.841522031392
2016,CHI,51.2,10.7503595417809
2016,CLE,69.5,10.8816504504756
2016,DAL,51.2,10.747827456926
2016,DEN,40.2,10.7356412865058
2016,DET,53.7,10.893384594251
2016,GS,89,10.9370770777998
2016,HOU,50,10.8313872548115
2016,IND,54.9,10.7853473460897
2016,LAC,64.6,10.8830835251142
2016,LAL,20.7,10.6899412364976
2016,MEM,51.2,10.7230198029374
2016,MIA,58.5,10.9082524064694
2016,MIL,40.2,10.8379780440642
2016,MIN,35.4,10.8592629004398
2016,NO,36.6,10.7167123764006
2016,NY,39,10.7632318738452
2016,OKC,67.1,10.9806356900294
2016,ORL,42.7,10.8544538119302
2016,PHI,12.2,10.6407833857731
2016,PHX,28,10.5846169476019
2016,POR,53.7,10.8638226527104
2016,SA,81.7,10.8379228153029
2016,SAC,40.2,10.8113790613461
2016,TOR,68.3,10.8872190201503
2016,UTAH,48.8,10.762191101125
2016,WSH,50,10.786858845116
2017,ATL,52.4,10.8150995082122
2017,BKN,24.4,10.5958326562645
2017,BOS,64.6,10.8284257084916
2017,CHA,43.9,10.8402438519597
2017,CHI,50,10.7909060730889
2017,CLE,62.2,10.936590087054
2017,DAL,40.2,10.6719453254739
2017,DEN,48.8,10.8615146496362
2017,DET,45.1,10.8009809053963
2017,GS,81.7,10.9429110061791
2017,HOU,67.1,10.954968048489
2017,IND,51.2,10.845801371456
2017,LAC,62.2,10.885357953475
2017,LAL,31.7,10.675269038314
2017,MEM,52.4,10.7671835412023
2017,MIA,50,10.7981211405555
2017,MIL,51.2,10.813124926854
2017,MIN,37.8,10.8980882535692
2017,NO,41.5,10.8914401332261
2017,NY,37.8,10.7676674775217
2017,OKC,57.3,10.9328262864385
2017,ORL,35.4,10.8054041950424
2017,PHI,34.1,10.5950958040013
2017,PHX,29.3,10.6913794854555
2017,POR,50,10.8913827419406
2017,SA,74.4,10.8272953278724
2017,SAC,39,10.7043764127334
2017,TOR,62.2,10.9387234583098
2017,UTAH,62.2,10.7951805216434
2017,WSH,59.8,10.9612368175515
2018,ATL,29.3,10.6837507752482
2018,BKN,34.1,10.7034440909301
2018,BOS,67.1,10.787332580549
2018,CHA,43.9,10.819272361432
2018,CHI,32.9,10.6582209003123
2018,CLE,61,10.897600979552
2018,DAL,29.3,10.7208874152468
2018,DEN,56.1,10.8873970973213
2018,DET,47.6,10.838400126051
2018,GS,70.7,10.8112077710056
2018,HOU,79.3,10.9171997362473
2018,IND,58.5,10.8939951776769
2018,LAC,51.2,10.8710075682526
2018,LAL,42.7,10.7905830585406
2018,MEM,26.8,10.5558654719585
2018,MIA,53.7,10.7858857226801
2018,MIL,53.7,10.901423993146
2018,MIN,57.3,10.9696300027252
2018,NO,58.5,10.9246925706464
2018,NY,35.4,10.7112917148478
2018,OKC,58.5,10.8956954617699
2018,ORL,30.5,10.6865407550709
2018,PHI,63.4,10.8830560279776
2018,PHX,25.6,10.7500011700244
2018,POR,59.8,10.838934501804
2018,SA,57.3,10.7591766309426
2018,SAC,32.9,10.6592619621166
2018,TOR,72,10.8782324698076
2018,UTAH,58.5,10.8110017129581
2018,WSH,52.4,10.8123844275393
